Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
62221,-2375,106841,137338,20360,196593,211.7,18.1,25.9,11.012,-27.888,-51.084,-0.312,0.433,0.813,-68.418,57.576,28.132,63,
62231,-560,106718,138348,18533,199393,211.2,18,25.9,3.989,-28.552,-50.908,-0.296,0.435,0.818,-69.618,55.201,28.132,63,
62242,-237,106199,138366,17268,200024,210.6,18,25.8,-2.026,-26.506,-52.206,-0.284,0.418,0.827,-68.418,54.014,30.383,63,
62253,-225,106683,138892,17362,201593,210.1,17.8,25.6,-5.461,-24.353,-53.695,-0.272,0.398,0.84,-68.418,55.201,28.132,63,
62264,-353,106630,138810,16864,202255,209.6,17.7,25.4,-5.255,-21.849,-54.656,-0.265,0.388,0.848,-68.418,52.827,30.383,63,
62275,-366,106935,139184,16941,203645,209,17.6,25.1,-4.286,-21.849,-54.634,-0.253,0.368,0.845,-68.418,54.014,29.258,63,
62287,-559,107198,139231,16759,204677,208.5,17.4,24.8,-3.599,-23.59,-53.786,-0.24,0.359,0.852,-69.618,52.827,30.383,63,
62297,-652,107315,139369,16523,206265,207.9,17.2,24.5,-0.637,-25.475,-53.504,-0.235,0.34,0.856,-68.418,51.64,28.132,63,
62308,-762,107738,139700,16761,207420,207.3,16.9,24.2,1.455,-26.124,-51.763,-0.212,0.325,0.862,-69.618,49.266,29.258,63,
62320,-3999,108736,138631,19975,205377,206.7,16.6,24,12.035,-27.659,-49.786,-0.202,0.328,0.889,-69.618,49.266,29.258,63,
62330,-1635,108321,139846,17496,208637,206.2,16.2,23.9,18.523,-28.834,-46.931,-0.198,0.332,0.895,-67.218,51.64,27.007,63,
62341,-1310,107686,139869,16300,209157,205.8,15.8,23.9,16.187,-30.811,-45.588,-0.193,0.344,0.91,-67.218,50.453,24.757,63,
62352,-4821,109510,139383,20518,207936,205.3,15.3,23.7,10.134,-32.605,-43.733,-0.166,0.354,0.927,-70.819,48.079,23.631,63,
62364,-6154,109620,138922,21934,207136,204.8,14.8,23.5,5.157,-29.605,-42.023,-0.145,0.34,0.93,-68.418,50.453,24.757,63,
62374,-6448,110309,139278,22801,208181,204.4,14.3,23.3,3.218,-25.643,-40.565,-0.126,0.336,0.944,-69.618,49.266,24.757,63,
62386,-2843,108578,140504,17747,211519,204,13.9,23.1,1.149,-19.811,-40.863,-0.118,0.336,0.952,-68.418,49.266,24.757,63,
62396,-1834,108319,141116,16292,213350,203.6,13.5,22.9,0.149,-15.933,-41.328,-0.122,0.329,0.941,-69.618,48.079,25.882,63,
62407,-1654,108397,141501,16009,214709,203.3,13.2,22.7,-0.339,-12.895,-42.038,-0.124,0.313,0.934,-69.618,50.453,27.007,63,
62419,-1768,108195,141509,15488,215126,202.9,12.9,22.4,3.439,-12.094,-40.069,-0.119,0.297,0.945,-68.418,46.892,25.882,63,
62429,-3790,109522,141373,18384,214831,202.6,12.6,22.3,11.653,-13.353,-37.229,-0.122,0.295,0.948,-67.218,48.079,23.631,63,
62440,-2294,108580,141636,15993,216082,202.4,12.3,22.2,14.279,-15.697,-34.382,-0.134,0.308,0.955,-67.218,48.079,23.631,63,
62451,-1950,108945,142373,15952,217568,202.1,12,22.1,11.149,-18.513,-32.023,-0.132,0.313,0.967,-69.618,45.704,23.631,63,
