Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
689131,-24008,-12323,-72476,-71434,-304488,182.2,16.7,18.9,20.623,-6.681,3.13,-0.259,0.327,0.942,-46.812,19.588,34.884,13,
689142,-23663,-12300,-72336,-72042,-304924,182.4,16.5,19.2,15.058,-5.307,2.657,-0.252,0.342,0.951,-49.213,19.588,36.01,13,
689153,-23472,-12098,-72213,-72217,-305301,182.4,16.3,19.4,10.241,-3.964,2.199,-0.249,0.345,0.944,-48.013,16.026,34.884,13,
689164,-23380,-12138,-72190,-72448,-305845,182.5,16.1,19.7,8.516,-4.231,0.74,-0.255,0.344,0.934,-45.612,18.4,37.135,13,
689175,-23305,-11876,-71874,-72355,-306231,182.7,15.9,19.9,7.5,-5.239,-1.053,-0.261,0.333,0.924,-48.013,20.775,31.508,13,
689186,-23362,-11446,-71892,-72245,-306864,182.8,15.8,20.1,7.684,-7.223,-1.794,-0.253,0.325,0.927,-48.013,20.775,31.508,13,
689197,-23268,-11098,-71852,-72416,-307313,182.9,15.6,20.2,7.218,-6.483,-2.794,-0.246,0.318,0.93,-48.013,20.775,36.01,13,
689208,-27091,-9003,-74423,-67078,-310469,182.9,15.4,20.3,7.722,-6.742,-3.214,-0.246,0.314,0.934,-48.013,19.588,32.634,13,
689219,-23880,-9919,-72411,-71335,-308643,182.9,15.2,20.3,7.233,-5.384,-3.481,-0.236,0.306,0.962,-48.013,20.775,34.884,13,
689230,-23117,-9750,-71615,-72292,-308197,183,15,20.4,7.355,-4.262,-4.191,-0.24,0.297,0.94,-45.612,21.962,34.884,13,
689242,-22903,-9466,-71458,-72556,-308441,183,14.9,20.4,7.302,-0.361,-5.244,-0.23,0.306,0.97,-48.013,20.775,34.884,13,
689252,-23240,-8997,-71402,-72204,-308944,183.1,14.8,20.3,5.882,-1.567,-5.427,-0.242,0.278,0.946,-46.812,21.962,36.01,13,
689263,-23036,-8876,-71295,-72613,-309274,183.1,14.7,20.3,7.462,-0.323,-4.939,-0.234,0.282,0.917,-48.013,20.775,31.508,13,
689274,-23026,-8455,-71135,-72740,-309638,183.2,14.6,20.3,8.035,-0.704,-3.687,-0.233,0.284,0.929,-48.013,19.588,33.759,13,
689285,-22981,-8085,-71154,-72611,-309976,183.3,14.5,20.3,6.485,0.112,-1.748,-0.236,0.296,0.923,-49.213,23.149,37.135,13,
689296,-23014,-7681,-71021,-72694,-310537,183.3,14.5,20.3,3.233,0.769,-0.542,-0.238,0.296,0.923,-46.812,19.588,37.135,13,
689307,-23132,-7168,-71102,-72581,-311106,183.4,14.4,20.3,2.653,-1.59,1.756,-0.24,0.314,0.897,-46.812,19.588,37.135,13,
689318,-24828,-5824,-72318,-70376,-313052,183.5,14.3,20.5,1.867,-4.124,1.252,-0.236,0.331,0.925,-48.013,21.962,34.884,13,
689329,-23564,-5926,-71465,-72550,-312577,183.6,14.2,20.5,-1.064,-4.178,0.237,-0.24,0.34,0.956,-48.013,20.775,37.135,13,
689340,-23128,-5910,-71140,-73118,-312937,183.6,14.1,20.5,-4.286,-6.3,0.038,-0.239,0.328,0.926,-49.213,19.588,37.135,13,
689352,-23110,-5673,-71193,-72955,-313535,183.7,14,20.5,-3.347,-4.544,0.092,-0.226,0.324,0.923,-50.413,21.962,34.884,13,
