Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
276339,-18144,-106854,8552,-28191,-51528,191.7,15.2,21.9,-2.278,1.464,-2.038,-0.276,0.365,0.901,-52.814,12.465,1.125,43,
276350,-15539,-107321,9385,-31539,-50957,191.7,15.3,22,3.302,0.311,-0.801,-0.273,0.359,0.891,-52.814,12.465,1.125,43,
276362,-14596,-107116,9924,-32179,-50819,191.7,15.3,22,5.508,0.364,-0.71,-0.274,0.363,0.891,-54.014,10.091,-1.125,43,
276372,-14700,-106828,9887,-31848,-51095,191.7,15.3,22.1,7.76,-1.697,-0.015,-0.267,0.369,0.894,-52.814,13.652,-1.125,43,
276383,-14047,-106797,10313,-31838,-51235,191.7,15.2,22.2,7.31,-2.72,-0.908,-0.258,0.39,0.912,-51.614,12.465,0,43,
276394,-18927,-105606,9019,-24773,-52928,191.8,15.2,22.3,3.546,-3.094,-2.305,-0.255,0.394,0.914,-54.014,12.465,-3.376,43,
276405,-15007,-106818,10399,-29503,-51951,191.8,15.1,22.3,-1.393,-2.651,-2.855,-0.256,0.397,0.929,-52.814,16.026,1.125,43,
276416,-17916,-106066,9753,-25325,-52848,191.8,15.1,22.3,-5.263,-4.071,-3.267,-0.258,0.384,0.926,-55.215,13.652,-1.125,43,
276428,-14649,-107221,10833,-29280,-52219,191.7,15,22.2,-6.706,-4.262,-3.084,-0.256,0.363,0.928,-54.014,12.465,1.125,43,
276438,-15835,-106944,10721,-26889,-52639,191.7,15,22.1,-3.309,-3.437,-3.26,-0.255,0.336,0.927,-52.814,10.091,-2.251,43,
276449,-13527,-107746,11571,-29843,-52109,191.6,15,22,1.058,-2.2,-3.496,-0.257,0.324,0.916,-52.814,11.278,-1.125,43,
276460,-12324,-107846,12265,-30679,-51895,191.6,15,22,6.966,0.189,-3.336,-0.262,0.324,0.921,-51.614,12.465,-1.125,43,
276471,-12073,-107932,12382,-30930,-51989,191.6,15,22,10.394,0.746,-3.305,-0.269,0.328,0.92,-51.614,12.465,-1.125,43,
276482,-11619,-107858,12685,-30853,-52243,191.5,15.1,22,11.531,-1.155,-1.618,-0.276,0.336,0.915,-52.814,10.091,-1.125,43,
276493,-11443,-107915,12763,-30893,-52443,191.6,15,22.1,9.913,-3.895,0.443,-0.276,0.359,0.92,-52.814,14.839,0,43,
276505,-11207,-107947,13050,-30578,-52726,191.6,15,22.2,3.791,-4.689,1.847,-0.27,0.369,0.934,-51.614,11.278,-1.125,43,
276515,-11308,-107890,13273,-30091,-52814,191.6,14.9,22.1,-0.858,-6.666,2.588,-0.269,0.367,0.924,-52.814,11.278,0,43,
276526,-10683,-108003,13542,-30396,-52734,191.6,14.8,22.1,-2.599,-5.804,2.855,-0.261,0.371,0.935,-52.814,12.465,-2.251,43,
276537,-10407,-108298,13793,-30319,-52597,191.7,14.8,22,-4.179,-3.941,2.107,-0.252,0.37,0.934,-52.814,11.278,-2.251,43,
276548,-12752,-107944,13344,-26656,-53419,191.7,14.7,22,-0.935,-0.956,1.443,-0.247,0.361,0.93,-51.614,12.465,-2.251,43,
276560,-10711,-108643,14312,-28920,-52825,191.7,14.7,22,0.638,1.601,-0.031,-0.246,0.367,0.933,-52.814,11.278,-3.376,43,
276570,-10112,-108946,14509,-29696,-52819,191.7,14.7,22,3.791,3.135,-0.038,-0.256,0.358,0.927,-51.614,10.091,1.125,43,
276581,-9464,-109013,14848,-29771,-52777,191.8,14.7,22.1,6.523,2.433,0.275,-0.262,0.355,0.925,-52.814,13.652,-1.125,43,
276592,-9366,-109070,14888,-29860,-52998,191.8,14.7,22.2,8.806,-0.857,1.176,-0.262,0.378,0.924,-52.814,13.652,-1.125,43,
276603,-8958,-109126,15175,-29812,-53215,191.9,14.7,22.3,6.355,-1.75,1.618,-0.263,0.386,0.924,-51.614,12.465,-1.125,43,
276615,-9256,-109154,15333,-29119,-53380,191.9,14.7,22.4,5.5,-2.3,1.275,-0.253,0.409,0.928,-55.215,13.652,0,43,
276625,-8608,-109392,15799,-29436,-53597,191.9,14.6,22.4,-1.141,-0.353,-0.298,-0.252,0.422,0.94,-52.814,13.652,1.125,43,
276637,-8330,-109200,16010,-29450,-53631,191.9,14.6,22.4,-5.255,1.006,-1.71,-0.256,0.398,0.92,-54.014,11.278,-1.125,43,
276647,-12213,-107746,14569,-23762,-54637,191.9,14.6,22.4,-2.851,0.403,-1.924,-0.259,0.368,0.899,-55.215,10.091,-1.125,43,
276659,-8650,-108375,15673,-27876,-53720,191.9,14.7,22.3,-0.103,0.967,-1.374,-0.265,0.347,0.901,-50.413,12.465,1.125,43,
276669,-8196,-108385,15832,-28655,-53623,191.9,14.7,22.3,3.836,0.601,-0.031,-0.264,0.341,0.891,-54.014,12.465,-2.251,43,
276680,-7457,-108425,16052,-28978,-53644,191.9,14.7,22.4,7.752,0.479,1.374,-0.266,0.339,0.9,-54.014,13.652,0,43,
276691,-7326,-108353,16037,-29016,-53814,192,14.8,22.4,8.936,-0.62,1.611,-0.273,0.345,0.892,-52.814,12.465,0,43,
276702,-6957,-108322,16388,-28851,-53829,192,14.8,22.5,9.539,-1.735,2.191,-0.263,0.343,0.893,-50.413,13.652,0,43,
276713,-6832,-108354,16310,-28870,-53912,192.1,14.7,22.6,11.34,-3.536,3.481,-0.257,0.346,0.902,-50.413,13.652,0,43,
276724,-6487,-108434,16520,-28728,-54019,192.1,14.6,22.7,11.729,-6.422,4.214,-0.257,0.377,0.909,-50.413,14.839,0,43,
276738,-6123,-108690,17003,-28616,-54233,192.2,14.5,22.8,4.355,-6.262,2.863,-0.256,0.404,0.919,-51.614,12.465,-1.125,43,
276749,-8082,-108089,16348,-25663,-54735,192.2,14.4,22.8,-0.24,-7.865,2.237,-0.253,0.401,0.921,-55.215,14.839,0,43,
276760,-6217,-108494,17145,-27634,-54424,192.2,14.4,22.8,-3.4,-7.933,1.687,-0.261,0.383,0.914,-52.814,12.465,1.125,43,
276771,-5847,-108523,17217,-28179,-54336,192.2,14.3,22.8,-1.553,-8.292,1.595,-0.252,0.364,0.912,-51.614,14.839,-1.125,43,
276782,-5328,-108388,17438,-28060,-54210,192.2,14.2,22.7,2.088,-8.567,1.992,-0.247,0.359,0.905,-51.614,11.278,-1.125,43,
276794,-5235,-108275,17503,-27844,-54303,192.2,14.1,22.8,5.409,-7.567,2.924,-0.245,0.37,0.919,-51.614,13.652,1.125,43,
276805,-5143,-108136,17639,-27555,-54371,192.3,14,22.8,8.348,-5.094,3.199,-0.246,0.368,0.922,-51.614,13.652,1.125,43,
276815,-4887,-107958,17653,-27581,-54476,192.3,14,22.9,12.18,-4.513,4.695,-0.255,0.362,0.917,-51.614,12.465,1.125,43,
276826,-4686,-107794,17694,-27566,-54490,192.4,13.9,23.1,16.21,-5.208,6.366,-0.253,0.362,0.911,-50.413,14.839,1.125,43,
276838,-4348,-107841,17837,-27647,-54632,192.5,13.8,23.3,17.569,-8.697,8.206,-0.248,0.415,0.928,-51.614,13.652,-1.125,43,
276848,-7668,-106697,16785,-22644,-55484,192.6,13.7,23.5,9.187,-9.307,7.435,-0.242,0.438,0.952,-52.814,14.839,-1.125,43,
276859,-4512,-107992,18523,-26433,-55095,192.7,13.5,23.6,1.951,-8.88,5.466,-0.236,0.451,0.931,-54.014,16.026,-1.125,43,
276870,-3926,-108362,18832,-27205,-55145,192.7,13.4,23.5,-7.438,-8.3,3.076,-0.232,0.429,0.941,-51.614,12.465,0,43,
276881,-3617,-108320,19047,-26938,-54999,192.7,13.3,23.5,-9.171,-6.361,2.221,-0.238,0.39,0.912,-51.614,16.026,0,43,
276893,-3701,-108473,19010,-26769,-54953,192.7,13.3,23.4,-5.805,-5.529,2.328,-0.232,0.373,0.922,-51.614,14.839,2.251,43,
276903,-3346,-108404,19266,-26679,-54855,192.8,13.2,23.3,1.187,-4.849,2.969,-0.236,0.348,0.925,-50.413,13.652,0,43,
276914,-3765,-108363,19272,-25885,-54966,192.8,13.2,23.3,8.21,-3.216,4,-0.227,0.37,0.92,-52.814,12.465,1.125,43,
276926,-3482,-108403,19504,-25928,-55234,192.8,13.1,23.4,9.165,-1.849,4.023,-0.23,0.384,0.928,-52.814,12.465,1.125,43,
276936,-2821,-108444,19881,-26396,-55226,192.8,13.1,23.5,9.195,-3.292,4.527,-0.238,0.402,0.928,-52.814,13.652,1.125,43,
276947,-5272,-107919,19061,-23208,-56014,192.9,13,23.6,4.668,-4.529,4.809,-0.239,0.429,0.936,-52.814,12.465,0,43,
276958,-3230,-108386,20076,-24993,-55825,193,13,23.6,-2.187,-4.269,4,-0.235,0.436,0.945,-50.413,14.839,-1.125,43,
276969,-2166,-108888,20582,-26256,-55707,193,12.9,23.6,-7.049,-5.949,2.611,-0.232,0.42,0.936,-52.814,14.839,0,43,
276980,-1678,-108949,21099,-26330,-55485,193,12.8,23.5,-7.034,-4.888,0.977,-0.222,0.39,0.946,-52.814,14.839,1.125,43,
276991,-1769,-109134,21183,-26107,-55533,193,12.8,23.4,-3.477,-1.834,0.16,-0.216,0.375,0.942,-52.814,14.839,0,43,
277002,-1290,-109068,21380,-26025,-55593,193,12.8,23.4,2.897,2.418,0.489,-0.216,0.361,0.939,-52.814,14.839,2.251,43,
277013,-1529,-108916,21336,-25465,-55770,193.1,12.8,23.4,8.088,3.25,1.366,-0.218,0.373,0.937,-51.614,14.839,0,43,
277025,-2859,-108239,21036,-22993,-56291,193.1,12.8,23.4,7.89,5.273,1.908,-0.219,0.384,0.939,-52.814,12.465,0,43,
277035,-1154,-108806,21512,-25114,-56126,193.2,12.8,23.5,8.523,3.151,2.817,-0.228,0.402,0.927,-51.614,14.839,1.125,43,
277047,-584,-109111,21846,-25690,-56268,193.2,12.8,23.6,3.76,0.364,3.145,-0.221,0.416,0.935,-51.614,14.839,1.125,43,
277057,-3146,-108201,21085,-21496,-57127,193.3,12.7,23.6,-1.759,0.021,2.145,-0.225,0.417,0.93,-55.215,16.026,-1.125,43,
277069,-836,-109068,22056,-24653,-56537,193.4,12.7,23.6,-4.232,1.609,0.008,-0.221,0.4,0.928,-52.814,16.026,3.376,43,
277080,37,-109009,22334,-25289,-56475,193.4,12.7,23.5,-2.393,2.128,0.267,-0.219,0.381,0.916,-52.814,14.839,0,43,
