Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
16419,-52706,-65855,-50384,-51052,-52651,202.4,7.8,11.3,3.752,-1.368,2.855,-0.13,0.185,0.992,-63.617,30.272,29.258,34,
16429,-59604,-61445,-51664,-40295,-55619,202.5,7.8,11.3,3.302,-0.773,2.534,-0.135,0.184,0.991,-63.617,30.272,27.007,34,
16441,-54667,-64488,-50731,-47532,-53314,202.5,7.8,11.3,2.737,0.128,2.389,-0.138,0.187,0.982,-64.817,31.459,31.508,34,
16452,-55252,-64500,-50793,-46897,-53923,202.5,7.8,11.3,3.073,-0.582,2.122,-0.14,0.177,0.972,-63.617,32.646,31.508,34,
16463,-58012,-62507,-51240,-42069,-55353,202.5,7.8,11.3,2.783,-1.979,2.305,-0.14,0.174,0.972,-63.617,30.272,30.383,34,
16473,-54230,-65347,-50649,-48269,-53581,202.6,7.7,11.3,3.852,-4.483,3.122,-0.133,0.18,0.966,-63.617,32.646,31.508,34,
16484,-55140,-64701,-50561,-46524,-53682,202.6,7.6,11.3,5.424,-4.536,3.733,-0.127,0.181,0.975,-62.417,33.833,31.508,34,
16495,-57355,-63624,-51168,-43568,-55184,202.7,7.6,11.4,3.539,-3.819,4.473,-0.123,0.19,0.991,-62.417,33.833,31.508,34,
16506,-60387,-61374,-51492,-38414,-56545,202.8,7.5,11.4,2.562,-2.918,4.527,-0.129,0.2,0.987,-62.417,33.833,31.508,34,
16518,-58667,-62945,-51331,-41230,-55748,202.9,7.5,11.5,0.653,-1.483,4.214,-0.132,0.201,0.99,-61.216,32.646,28.132,34,
16528,-60759,-61426,-51686,-37631,-56950,202.9,7.4,11.5,-0.08,-0.903,3.405,-0.133,0.2,0.98,-64.817,32.646,29.258,34,
16539,-55956,-64744,-50821,-44897,-54816,203,7.4,11.5,-0.263,-1.811,3.504,-0.132,0.2,0.983,-64.817,33.833,30.383,34,
16550,-54441,-66293,-50477,-48511,-54562,203,7.3,11.5,-0.507,-4.04,3.779,-0.122,0.199,0.993,-64.817,33.833,32.634,34,
16561,-53048,-67006,-50135,-49641,-53611,203.1,7.2,11.5,0.462,-4.063,3.817,-0.114,0.205,0.995,-67.218,33.833,32.634,34,
16572,-52479,-67732,-50051,-51124,-53402,203.1,7.2,11.6,0.653,-4.483,3.718,-0.117,0.213,1,-66.018,32.646,30.383,34,
16584,-52299,-67691,-49883,-50938,-53353,203.1,7.1,11.6,1.157,-5.567,3.328,-0.116,0.214,1.004,-64.817,30.272,33.759,34,
16594,-52264,-68137,-50035,-51479,-53605,203.1,7,11.6,1.119,-5.017,2.779,-0.114,0.216,1.007,-62.417,33.833,32.634,34,
16605,-52015,-67967,-49818,-51367,-53258,203.2,6.9,11.7,-0.377,-3.926,2.771,-0.116,0.216,1.012,-63.617,33.833,31.508,34,
16616,-52201,-68240,-49947,-51540,-53636,203.2,6.9,11.7,-0.759,-2.674,2.137,-0.117,0.217,1.01,-63.617,33.833,31.508,34,
16628,-52185,-68057,-49801,-51343,-53460,203.2,6.8,11.7,-0.652,-1.842,1.397,-0.12,0.214,1.002,-63.617,32.646,31.508,34,
16638,-52539,-67943,-49974,-50594,-53966,203.3,6.8,11.7,-0.293,-1.445,0.481,-0.122,0.213,1.01,-64.817,35.02,31.508,34,
16649,-52356,-68132,-49849,-51059,-53832,203.3,6.8,11.7,0.539,-0.613,-0.321,-0.113,0.212,1.004,-64.817,32.646,31.508,34,
16660,-53562,-67202,-50138,-48637,-54582,203.3,6.7,11.8,0.157,-1.727,-0.519,-0.115,0.207,0.988,-63.617,35.02,31.508,34,
16672,-52662,-68133,-49999,-50557,-54252,203.3,6.7,11.8,1.722,-3.025,-0.809,-0.112,0.2,0.991,-66.018,35.02,32.634,34,
16682,-53778,-67218,-50048,-48416,-54938,203.2,6.6,11.8,2.149,-3.513,-0.672,-0.106,0.192,0.99,-64.817,31.459,30.383,34,
16693,-53019,-68044,-49999,-49769,-54592,203.2,6.6,11.7,2.302,-2.75,-0.099,-0.111,0.196,0.993,-66.018,32.646,32.634,34,
16704,-52254,-68251,-49710,-50722,-54045,203.2,6.5,11.8,3.401,-1.964,0.366,-0.109,0.199,1.005,-66.018,33.833,31.508,34,
16715,-52121,-68650,-49807,-51199,-54335,203.2,6.5,11.8,0.279,-0.613,0.634,-0.115,0.212,1,-63.617,31.459,33.759,34,
16726,-52043,-68410,-49632,-50998,-54047,203.2,6.5,11.7,-3.019,-0.033,0,-0.113,0.206,0.998,-63.617,31.459,33.759,34,
16738,-53446,-67596,-49949,-48822,-55027,203.2,6.5,11.7,-4.042,-1.277,0.069,-0.12,0.198,0.988,-63.617,33.833,31.508,34,
16748,-52675,-67906,-49727,-49777,-54480,203.2,6.5,11.6,-3.591,-1.277,0.58,-0.115,0.19,0.991,-66.018,32.646,31.508,34,
16759,-54409,-66739,-50055,-47035,-55666,203.2,6.5,11.5,-1.652,-2.292,0.466,-0.112,0.181,0.98,-63.617,32.646,30.383,34,
16770,-52653,-67880,-49794,-49885,-54796,203.2,6.4,11.5,0.31,-3.865,0.786,-0.107,0.175,0.994,-63.617,33.833,29.258,34,
16781,-52042,-68185,-49558,-50628,-54483,203.2,6.4,11.4,0.974,-3.445,1.015,-0.106,0.185,0.998,-64.817,32.646,34.884,34,
16792,-52108,-68411,-49697,-50836,-54628,203.3,6.3,11.4,-0.515,-3.414,1.504,-0.109,0.197,1.011,-63.617,36.207,30.383,34,
16803,-52248,-68147,-49472,-50148,-54392,203.3,6.2,11.4,-3.042,-2.338,1.481,-0.106,0.207,1.014,-66.018,35.02,32.634,34,
16814,-52003,-68630,-49655,-50783,-54260,203.3,6.2,11.4,-8.614,-1.674,1.435,-0.094,0.215,1.032,-63.617,33.833,36.01,34,
16825,-51901,-68760,-49397,-50664,-53664,203.4,6.1,11.2,-18.026,1.044,0.496,-0.103,0.208,1.023,-62.417,33.833,33.759,34,
16836,-51998,-69270,-49547,-50856,-53812,203.4,6.1,11,-21.179,1.738,0.221,-0.099,0.19,1.034,-64.817,32.646,33.759,34,
16848,-51956,-69584,-49416,-50697,-53405,203.3,6.2,10.7,-21.919,3.502,-0.084,-0.107,0.168,1.014,-64.817,32.646,33.759,34,
