Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
1094208,22150,-319649,1796984,-220586,-1568791,177.7,12.7,14.6,-1.24,-0.811,4.931,-0.219,0.238,0.928,-48.013,8.903,38.26,0,
1094219,23391,-319913,1797634,-222449,-1568765,177.8,12.7,14.7,6.073,3.624,3.634,-0.208,0.237,0.938,-46.812,10.091,40.511,0,
1094230,23705,-320002,1797502,-223236,-1569659,177.8,12.7,14.8,6.905,6.922,2.985,-0.224,0.259,0.984,-44.412,10.091,39.385,0,
1094241,23808,-320236,1797060,-223640,-1570743,177.9,12.8,14.8,0.539,9.96,2.237,-0.232,0.262,1.024,-49.213,8.903,39.385,0,
1094252,23889,-320256,1796690,-223866,-1571829,178,12.8,14.8,-3.042,4.822,3.237,-0.236,0.266,0.998,-48.013,11.278,38.26,0,
1094263,23812,-320369,1796268,-224008,-1572913,178.1,12.8,14.8,-5.835,0.395,3.084,-0.226,0.256,1.003,-45.612,11.278,38.26,0,
1094274,23969,-320457,1796182,-224084,-1573798,178,12.7,14.6,-8.347,-0.956,2.702,-0.203,0.238,0.978,-44.412,7.716,39.385,0,
1094285,24033,-320283,1796015,-224412,-1574771,178,12.6,14.4,-6.011,-0.04,2.733,-0.202,0.237,0.981,-44.412,7.716,39.385,0,
1094297,24169,-319871,1795813,-224392,-1575826,178,12.5,14.3,-4.477,2.647,2.107,-0.212,0.23,0.976,-46.812,8.903,40.511,0,
1094308,22247,-318830,1794319,-221784,-1578505,178.1,12.6,14.2,-3.896,3.273,0.802,-0.219,0.22,0.965,-45.612,11.278,40.511,0,
1094319,23788,-319296,1794909,-224047,-1578324,178.1,12.6,14.2,-1.11,1.57,-0.176,-0.219,0.23,0.972,-45.612,10.091,38.26,0,
1094330,24256,-319192,1794829,-224657,-1579050,178.1,12.6,14.1,0.218,2.425,-0.466,-0.221,0.225,0.986,-46.812,10.091,39.385,0,
1094342,24363,-318994,1794711,-224953,-1579887,178.1,12.6,14.2,5.187,2.967,-0.985,-0.222,0.242,0.987,-49.213,10.091,41.636,0,
1094352,24265,-318698,1794510,-224870,-1580933,178.1,12.6,14.3,7.462,4.777,-0.519,-0.213,0.242,0.991,-46.812,10.091,41.636,0,
1094363,24525,-318583,1794157,-225247,-1581960,178.2,12.6,14.3,6.783,6.7,-0.672,-0.22,0.247,1.011,-46.812,10.091,38.26,0,
1094374,24655,-318378,1793985,-225287,-1582797,178.2,12.7,14.3,2.355,7.303,-0.214,-0.228,0.237,0.989,-48.013,10.091,40.511,0,
1094389,24866,-318084,1793715,-225536,-1583946,178.2,12.7,14.2,0.661,3.464,1.947,-0.223,0.221,0.967,-49.213,8.903,39.385,0,
1094399,24765,-317782,1793409,-225343,-1584881,178.2,12.7,14.2,2.195,3.425,4.229,-0.219,0.235,0.965,-46.812,8.903,39.385,0,
1094410,23276,-316931,1792214,-223162,-1586972,178.3,12.8,14.3,0.997,6.609,5.29,-0.227,0.238,0.979,-46.812,10.091,38.26,0,
1094421,24586,-317270,1792727,-225073,-1586906,178.4,12.9,14.3,1.592,6.822,3.634,-0.241,0.242,0.973,-45.612,8.903,37.135,0,
1094432,25045,-317296,1792700,-225811,-1587340,178.4,12.9,14.2,4.149,1.082,2.031,-0.245,0.238,0.972,-46.812,6.529,40.511,0,
1094443,25087,-317133,1792288,-225850,-1588346,178.4,12.9,14.3,5.165,-2.765,2.466,-0.226,0.239,0.982,-46.812,10.091,38.26,0,
1094454,25342,-316923,1792313,-226147,-1589031,178.4,12.8,14.3,4.638,-0.704,2.908,-0.214,0.233,0.985,-48.013,10.091,41.636,0,
1094465,25464,-316999,1792128,-226370,-1589822,178.5,12.8,14.3,6.577,1.761,2.557,-0.224,0.22,0.978,-49.213,11.278,39.385,0,
1094476,25535,-316844,1791980,-226493,-1590711,178.5,12.8,14.3,10.027,3.181,3.397,-0.227,0.218,0.971,-48.013,8.903,40.511,0,
1094487,25628,-316760,1791703,-226615,-1591600,178.5,12.9,14.3,9.584,3.815,3.115,-0.23,0.226,0.972,-48.013,8.903,40.511,0,
1094499,25701,-316643,1791425,-226421,-1592584,178.5,12.9,14.3,5.577,5.174,3.168,-0.224,0.228,0.969,-49.213,8.903,40.511,0,
1094509,21801,-315049,1788703,-220825,-1596299,178.6,13,14.3,0.874,4.502,4.122,-0.232,0.24,0.95,-48.013,10.091,38.26,0,
1094520,25140,-316406,1790456,-225103,-1594670,178.7,13,14.4,-1.08,2.7,5.16,-0.227,0.25,0.945,-48.013,11.278,38.26,0,
1094531,26034,-316857,1790794,-226270,-1594873,178.9,13,14.6,-0.553,0.731,4.939,-0.229,0.266,0.965,-46.812,12.465,39.385,0,
1094542,26301,-317072,1790620,-226547,-1595737,179,12.9,14.7,-2.194,2.051,4.832,-0.224,0.276,0.961,-49.213,11.278,40.511,0,
1094553,26499,-317113,1790522,-226792,-1596293,179.1,12.9,14.8,-0.919,2.372,4.344,-0.22,0.284,0.957,-48.013,10.091,39.385,0,
1094564,26628,-317097,1790218,-226881,-1597356,179.1,12.9,15,1.478,3.639,3.374,-0.225,0.29,0.954,-48.013,8.903,38.26,0,
1094575,26789,-316988,1789921,-226929,-1598044,179.2,13,15.1,2.836,3.067,1.473,-0.232,0.293,0.95,-50.413,10.091,41.636,0,
1094586,26753,-317020,1789471,-226987,-1599072,179.2,13.1,15.2,2.668,2.112,0.267,-0.243,0.28,0.946,-46.812,10.091,37.135,0,
1094597,26960,-316902,1789247,-227178,-1599866,179.2,13.1,15.4,4.714,2.242,-0.29,-0.245,0.278,0.954,-49.213,11.278,38.26,0,
1094608,26183,-316562,1788175,-226307,-1601590,179.3,13.2,15.6,8.707,1.235,-0.924,-0.242,0.285,0.96,-49.213,11.278,38.26,0,
1094619,25870,-316146,1787544,-225314,-1602654,179.3,13.2,15.8,7.89,0.853,-1.634,-0.231,0.298,0.955,-46.812,11.278,39.385,0,
1094630,26774,-316388,1787839,-226681,-1603026,179.3,13.2,15.9,3.874,4.326,-3.634,-0.224,0.301,0.982,-48.013,11.278,38.26,0,
1094641,27428,-316473,1787953,-227300,-1603540,179.3,13.1,16,1.821,7.311,-5.595,-0.211,0.309,0.981,-48.013,10.091,39.385,0,
1094652,27682,-316397,1787849,-227473,-1604426,179.3,13.2,16,-3.286,12.471,-7.275,-0.218,0.293,0.996,-45.612,12.465,39.385,0,
1094663,27880,-316185,1787653,-227583,-1605243,179.2,13.3,15.8,-10.011,14.624,-9.221,-0.231,0.278,0.997,-50.413,8.903,41.636,0,
1094674,27782,-315855,1787299,-227160,-1606025,179.2,13.5,15.7,-10.606,12.212,-9.328,-0.245,0.259,0.976,-48.013,11.278,37.135,0,
