Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
766045,144752,17996,84428,-5113,-55530,221.5,21.6,25.5,-2.187,-2.834,1.702,-0.374,0.41,0.856,-82.822,67.073,28.132,53,
766056,145876,18295,85017,-5059,-55381,221.5,21.5,25.5,-1.614,-4.078,2.199,-0.367,0.412,0.857,-86.423,68.26,28.132,53,
766068,146261,18361,85338,-4805,-55700,221.5,21.5,25.5,-2.629,-3.399,2.374,-0.367,0.417,0.862,-85.223,67.073,28.132,53,
766079,147033,18785,85807,-4321,-55668,221.5,21.4,25.5,-3.637,-4.033,2.344,-0.372,0.418,0.86,-84.022,70.634,30.383,53,
766089,147563,18673,85995,-4554,-55889,221.5,21.3,25.5,-1.24,-5.185,2.076,-0.369,0.421,0.86,-82.822,68.26,29.258,53,
766100,148479,18871,86529,-4422,-55817,221.5,21.3,25.5,-0.637,-5.346,1.74,-0.368,0.42,0.856,-84.022,67.073,29.258,53,
766112,149085,19063,86824,-4431,-56029,221.5,21.2,25.5,-0.148,-6.2,1.328,-0.361,0.422,0.858,-82.822,67.073,29.258,53,
766123,148728,19808,87027,-2455,-56719,221.4,21.1,25.5,0.989,-6.949,0.992,-0.353,0.428,0.864,-84.022,67.073,27.007,53,
766134,149274,20084,87399,-2417,-57275,221.4,21,25.5,0.042,-5.941,0.58,-0.355,0.434,0.877,-82.822,68.26,25.882,53,
766145,144637,22660,86275,5170,-59850,221.4,20.9,25.6,-1.79,-5.804,0.275,-0.356,0.443,0.881,-82.822,68.26,25.882,53,
766155,147936,21952,87418,2520,-58364,221.4,20.8,25.5,-2.843,-4.605,-0.29,-0.357,0.431,0.88,-82.822,68.26,25.882,53,
766166,144361,23921,86538,8118,-61111,221.3,20.8,25.5,-0.263,-4.071,-0.092,-0.362,0.423,0.873,-84.022,69.447,23.631,53,
766177,151209,21532,88694,70,-57494,221.3,20.7,25.6,3.523,-4.88,0.725,-0.357,0.419,0.858,-85.223,68.26,30.383,53,
766189,153266,21131,89474,-2240,-56935,221.3,20.7,25.7,7.859,-5.91,1.908,-0.367,0.434,0.865,-80.421,68.26,28.132,53,
766199,154489,21344,90136,-2440,-56603,221.3,20.6,25.8,5.958,-5.781,0.878,-0.359,0.434,0.876,-86.423,68.26,29.258,53,
766211,155261,21488,90528,-2680,-56784,221.2,20.5,25.8,2.76,-5.72,-0.275,-0.359,0.446,0.88,-82.822,68.26,30.383,53,
766221,154213,22575,90510,197,-57545,221.2,20.5,25.8,-0.751,-4.979,-2.779,-0.354,0.44,0.883,-81.622,69.447,28.132,53,
766232,156340,22114,91317,-1667,-56976,221.1,20.4,25.8,-3.484,-4.43,-4.687,-0.35,0.435,0.884,-82.822,68.26,29.258,53,
766243,156683,22390,91529,-1233,-57437,221.1,20.4,25.7,-3.744,-2.323,-5.748,-0.351,0.427,0.891,-80.421,68.26,28.132,53,
766255,152128,25297,90482,6999,-60380,221,20.4,25.6,-1.721,-1.17,-5.832,-0.351,0.415,0.877,-82.822,67.073,28.132,53,
