Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
13982,-38970,-21367,-25235,-40340,-50668,173.1,13.7,19,0.493,2.708,1.74,-0.254,0.313,0.915,-48.013,13.652,37.135,0,
13992,-41145,-20358,-26593,-37307,-52403,173.2,13.7,19,-4.095,-0.353,1.466,-0.245,0.305,0.921,-49.213,13.652,37.135,0,
14004,-39499,-20952,-25572,-39375,-51004,173.2,13.7,18.9,-6.042,0.036,1.428,-0.236,0.272,0.91,-51.614,12.465,39.385,0,
14014,-39129,-20948,-25318,-39880,-50937,173.3,13.8,18.8,-1.896,1.609,0.855,-0.231,0.257,0.896,-46.812,12.465,36.01,0,
14025,-38974,-20793,-25203,-40012,-50764,173.4,13.8,18.8,3.806,3.212,0.038,-0.235,0.254,0.867,-51.614,10.091,36.01,0,
14036,-38956,-20596,-25233,-40083,-50861,173.5,14,18.8,5.287,3.616,-0.473,-0.252,0.268,0.891,-49.213,13.652,37.135,0,
14048,-38925,-20379,-25183,-40137,-50895,173.5,14.1,18.9,3.989,0.654,0.122,-0.268,0.282,0.887,-49.213,11.278,34.884,0,
14059,-38937,-20197,-25281,-40029,-50979,173.6,14.1,18.9,-1.522,-5.712,0.763,-0.264,0.282,0.908,-50.413,13.652,34.884,0,
14070,-38782,-20177,-25161,-40185,-50965,173.7,14.1,18.8,-3.813,-8.155,1.809,-0.258,0.269,0.908,-50.413,13.652,34.884,0,
14082,-38736,-20068,-25102,-40093,-50870,173.8,14.1,18.8,-4.545,-9.109,2.771,-0.251,0.264,0.916,-50.413,13.652,34.884,0,
14092,-38950,-20012,-25286,-40029,-51991,173.8,14,18.6,-4.057,-8.43,2.817,-0.24,0.25,0.908,-49.213,10.091,36.01,0,
14103,-40402,-18950,-26130,-37860,-52165,173.9,14,18.5,1.645,-6.162,1.802,-0.239,0.251,0.897,-48.013,11.278,34.884,0,
14114,-39209,-19312,-25407,-39543,-51411,173.9,13.9,18.5,6.264,-4.765,1.595,-0.237,0.267,0.896,-48.013,12.465,36.01,0,
14125,-38826,-19096,-25107,-39957,-51176,174,13.9,18.6,4.081,-7.124,1.374,-0.246,0.291,0.903,-50.413,11.278,37.135,0,
14136,-38710,-18938,-24972,-40168,-51123,174,13.9,18.6,0.493,-7.826,0.947,-0.25,0.302,0.939,-48.013,12.465,37.135,0,
14148,-38622,-18745,-24925,-40378,-51248,174.1,13.8,18.6,-1.53,-9.437,0.695,-0.252,0.295,0.959,-48.013,12.465,36.01,0,
14158,-38672,-18478,-24939,-40231,-51263,174.1,13.7,18.5,-0.362,-12.315,0.244,-0.245,0.274,0.982,-45.612,12.465,38.26,0,
14169,-38667,-18245,-24885,-40356,-51378,174.1,13.5,18.3,0.874,-13.895,1.076,-0.239,0.272,0.979,-50.413,10.091,37.135,0,
14180,-38624,-17996,-24716,-40335,-51224,174.1,13.3,18.2,1.737,-11.697,2.489,-0.223,0.268,1.005,-48.013,12.465,36.01,0,
14192,-40788,-17021,-26196,-37972,-52101,174.2,13.1,18.1,0.92,-9.773,2.473,-0.212,0.264,1.008,-46.812,13.652,38.26,0,
14202,-40196,-16961,-25781,-38251,-52442,174.2,12.9,18,-0.332,-7.246,3.145,-0.206,0.272,1.003,-46.812,13.652,38.26,0,
14213,-38764,-17369,-24989,-40046,-51714,174.4,12.7,18,-1.118,-4.735,3.412,-0.204,0.275,1.004,-46.812,13.652,34.884,0,
14224,-38538,-17256,-24587,-40305,-51400,174.4,12.6,17.8,-2.408,-3.811,3.565,-0.209,0.264,1.02,-50.413,10.091,37.135,0,
14235,-38451,-17093,-24590,-40493,-51487,174.5,12.4,17.8,2.943,-3.063,3.046,-0.195,0.265,0.979,-48.013,13.652,39.385,0,
