Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
256327,42715,34188,117973,35236,-56589,204.6,14.7,16.4,13.638,-9.132,-1.947,-0.298,0.288,0.958,-67.218,40.956,30.383,0,
256338,43650,34270,119444,35391,-55556,204.7,14.7,16.7,10.562,-9.903,-1.076,-0.282,0.313,0.946,-66.018,40.956,29.258,0,
256349,44000,33850,120331,35017,-56127,204.7,14.6,16.8,4.623,-6.819,-4.794,-0.28,0.327,0.957,-66.018,38.582,28.132,0,
256361,41984,35008,121156,37979,-58032,204.7,14.7,16.9,-3.064,2.135,-9.794,-0.271,0.32,0.959,-64.817,37.395,27.007,0,
256372,43566,34175,122075,36808,-56414,204.6,14.9,16.9,-6.202,7.319,-14.641,-0.296,0.312,0.938,-68.418,37.395,28.132,0,
256383,44516,33997,122782,35941,-56070,204.5,15.2,16.9,-2.492,8.975,-19.519,-0.316,0.305,0.918,-68.418,38.582,31.508,0,
256394,45002,34187,123477,35768,-55597,204.3,15.4,17,3.012,8.204,-21.557,-0.324,0.296,0.894,-67.218,38.582,28.132,0,
256406,45497,34057,123856,35448,-55739,204.2,15.7,17.1,9.432,5.853,-24.046,-0.331,0.308,0.877,-67.218,38.582,30.383,0,
256417,42450,36295,124106,40133,-57263,204,15.9,17.3,11.974,1.212,-25.412,-0.32,0.324,0.875,-69.618,36.207,25.882,0,
256428,44748,35339,125172,37683,-56480,203.8,16.1,17.5,8.584,2.28,-28.489,-0.305,0.333,0.864,-66.018,38.582,28.132,0,
256439,46610,35337,126614,36337,-55286,203.6,16.3,17.6,-2.591,5.265,-33.191,-0.303,0.331,0.883,-67.218,37.395,27.007,0,
256450,47409,35065,126979,35880,-55537,203.3,16.6,17.4,-11.423,7.876,-37.084,-0.31,0.314,0.872,-69.618,35.02,27.007,0,
256461,47677,35494,127729,36545,-55239,203,16.9,17.3,-11.431,6.723,-39.153,-0.302,0.295,0.856,-69.618,36.207,27.007,0,
256473,47247,36053,127660,38275,-55950,202.7,17.1,17.2,-5.736,3.326,-39.748,-0.306,0.278,0.864,-68.418,38.582,24.757,0,
256484,45765,37025,127822,41217,-57366,202.3,17.2,17.1,-2.164,-1.284,-39.092,-0.289,0.275,0.886,-68.418,33.833,24.757,0,
256495,44151,38316,127848,44721,-58511,201.9,17.2,17,-5.393,-2.819,-38.71,-0.274,0.287,0.914,-72.019,35.02,22.506,0,
256505,41757,39718,127425,48865,-60836,201.6,17.1,16.8,-11.606,-6.681,-38.718,-0.263,0.286,0.927,-68.418,33.833,23.631,0,
256516,41145,40859,127761,51464,-60434,201.2,17,16.4,-15.408,-9.865,-37.687,-0.249,0.251,0.936,-68.418,32.646,22.506,0,
