Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
111920,-53374,-34129,-44753,-48706,43577,215.9,11.7,21.2,-11.782,1.044,2.313,-0.174,0.386,0.971,-69.618,51.64,41.636,0,
111930,-52048,-34599,-44314,-49635,44108,215.9,11.7,21,-9.606,3.83,1.527,-0.195,0.37,0.959,-67.218,52.827,46.137,0,
111941,-50052,-36151,-44163,-52847,45075,215.8,11.7,21,-1.584,3.189,0.893,-0.195,0.365,0.941,-67.218,51.64,45.012,0,
111952,-49222,-36316,-43646,-53374,45534,215.8,11.8,21,5.02,1.639,0.985,-0.204,0.37,0.934,-67.218,49.266,46.137,0,
111963,-49413,-36479,-43764,-53547,45219,215.8,11.8,21.1,7.485,3.311,0.71,-0.191,0.378,0.95,-66.018,54.014,45.012,0,
111975,-49231,-36507,-43483,-53382,45244,215.7,11.8,21.1,6.371,6.952,-0.084,-0.186,0.383,0.94,-69.618,54.014,46.137,0,
111985,-50935,-35745,-43841,-51348,44152,215.7,11.8,21.2,5.63,5.67,-0.122,-0.203,0.392,0.935,-70.819,52.827,43.887,0,
111996,-49593,-36440,-43597,-52741,44907,215.6,11.9,21.3,3.042,1.922,1.321,-0.197,0.392,0.933,-68.418,50.453,42.761,0,
112007,-49232,-36697,-43180,-53098,45075,215.6,11.8,21.3,-3.24,1.967,2.038,-0.19,0.394,0.939,-70.819,52.827,42.761,0,
112019,-49175,-36872,-43031,-53295,44971,215.6,11.8,21.2,-9.5,5.998,2.229,-0.187,0.378,0.943,-70.819,52.827,42.761,0,
112029,-49037,-36711,-43024,-53267,45099,215.6,11.9,21,-8.202,5.227,2.718,-0.196,0.365,0.922,-70.819,52.827,42.761,0,
112040,-49212,-36798,-43158,-53605,45049,215.5,11.9,21,-4.576,1.792,3.588,-0.209,0.364,0.923,-69.618,51.64,43.887,0,
112051,-48856,-36756,-42949,-53309,45296,215.5,11.9,21,-1.087,-4.109,4.015,-0.205,0.36,0.914,-67.218,55.201,42.761,0,
112063,-49062,-36826,-43082,-53194,45061,215.5,11.8,21,1.813,-6.178,3.672,-0.193,0.374,0.924,-69.618,52.827,43.887,0,
112073,-48839,-36657,-42737,-52828,45268,215.5,11.7,21.1,2.775,-4.071,2.473,-0.185,0.385,0.937,-68.418,55.201,45.012,0,
112084,-51592,-35478,-43544,-49693,43616,215.5,11.6,21.1,2.707,0.456,1.183,-0.19,0.39,0.949,-67.218,52.827,45.012,0,
112095,-49280,-36638,-42682,-52429,44884,215.4,11.7,21.2,3.249,0.632,0.336,-0.203,0.403,0.951,-69.618,49.266,46.137,0,
112106,-48750,-36919,-42537,-53064,45029,215.4,11.6,21.2,-0.217,-1.124,0.542,-0.187,0.408,0.954,-69.618,54.014,45.012,0,
112118,-48712,-37070,-42339,-53239,45043,215.3,11.6,21.1,-7.599,1.632,-0.092,-0.186,0.396,0.965,-70.819,51.64,45.012,0,
112128,-49748,-36280,-42434,-51594,44591,215.3,11.6,21.1,-8.538,4.548,-0.26,-0.187,0.379,0.948,-67.218,54.014,45.012,0,
112139,-48874,-36712,-42302,-52879,45017,215.2,11.6,21,-4.561,3.929,-0.168,-0.199,0.371,0.947,-67.218,54.014,45.012,0,
