Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
247328,198871,107151,216953,359316,213811,207.6,9.5,28.7,-0.08,0.578,1.13,-0.156,0.467,0.902,-57.615,30.272,-1.125,53,
247340,199325,107174,217349,359440,213915,207.6,9.5,28.6,-0.24,0.303,1.588,-0.165,0.472,0.909,-56.415,29.085,-2.251,53,
247350,195926,108593,216328,364387,212938,207.6,9.4,28.6,0.47,-0.155,1.099,-0.168,0.474,0.915,-58.816,30.272,-3.376,53,
247361,199036,107353,217507,360827,213429,207.6,9.4,28.5,-0.042,0.548,1.641,-0.164,0.478,0.921,-58.816,29.085,-1.125,53,
247372,199817,107160,217910,360249,213394,207.5,9.4,28.5,0.157,-0.849,1.45,-0.168,0.47,0.907,-58.816,29.085,-1.125,53,
247383,200235,106990,218219,360206,213279,207.5,9.4,28.4,2.119,-0.91,1.511,-0.166,0.474,0.91,-55.215,29.085,0,53,
247395,200299,107173,218359,360769,213028,207.5,9.4,28.5,2.745,-0.2,1.511,-0.16,0.476,0.902,-56.415,30.272,-1.125,53,
247405,200605,107095,218602,360619,212923,207.5,9.4,28.5,2.348,2.013,1.611,-0.158,0.485,0.905,-57.615,30.272,1.125,53,
247416,201105,107064,218926,360592,212820,207.5,9.4,28.5,1.31,2.387,1.588,-0.162,0.489,0.892,-56.415,30.272,0,53,
247427,201214,106967,218919,360546,212670,207.5,9.4,28.5,1.134,1.151,1.046,-0.167,0.486,0.89,-57.615,30.272,1.125,53,
247438,201595,107059,219295,360638,212593,207.5,9.4,28.5,2.302,-1.2,0.481,-0.16,0.487,0.88,-57.615,30.272,0,53,
247449,201722,106740,219336,360790,212594,207.5,9.3,28.6,2.775,-1.071,0.565,-0.158,0.49,0.883,-54.014,27.898,0,53,
247460,199983,107395,218889,363880,211843,207.4,9.3,28.6,3.806,-0.33,0.107,-0.153,0.493,0.892,-57.615,31.459,1.125,53,
247471,195667,109167,217566,370635,210396,207.4,9.3,28.6,2.355,-0.559,0.809,-0.16,0.495,0.894,-58.816,30.272,-2.251,53,
247482,200864,107114,219429,363960,211719,207.4,9.3,28.7,2.791,-0.956,0.458,-0.162,0.494,0.882,-55.215,31.459,2.251,53,
247493,202415,106714,220085,362504,211901,207.4,9.3,28.7,1.333,-1.697,0,-0.166,0.489,0.882,-55.215,31.459,2.251,53,
247504,202996,106691,220281,362055,211923,207.4,9.2,28.7,1.416,-2.857,0.649,-0.165,0.48,0.874,-56.415,29.085,1.125,53,
247515,203408,106864,220525,362379,211922,207.4,9.2,28.7,2.523,-3.46,0.985,-0.161,0.479,0.876,-56.415,31.459,-1.125,53,
247526,203566,106879,220666,362439,211603,207.4,9.2,28.7,2.104,-2.895,0.962,-0.158,0.484,0.89,-56.415,31.459,0,53,
247538,203884,106975,221097,362683,211598,207.4,9.1,28.8,2.142,-1.857,0.802,-0.16,0.482,0.892,-55.215,31.459,0,53,
247548,203895,106957,220996,363128,211318,207.4,9.1,28.8,1.5,-2.147,1.099,-0.164,0.483,0.902,-56.415,31.459,0,53,
247559,204509,107011,221380,363143,211140,207.4,9.1,28.7,-1.362,-2.971,1.229,-0.163,0.479,0.912,-55.215,32.646,-1.125,53,
247570,204713,106988,221662,363134,211090,207.4,9,28.7,-1.721,-3.75,2.229,-0.164,0.484,0.909,-57.615,32.646,-1.125,53,
247581,205000,107118,221919,363559,211025,207.4,9,28.6,-1.377,-5.033,2.618,-0.157,0.479,0.904,-58.816,32.646,0,53,
247592,205239,106787,222200,363665,211038,207.4,8.9,28.6,0.035,-2.117,2.252,-0.151,0.475,0.916,-56.415,29.085,1.125,53,
247603,202759,107694,221409,367609,210142,207.4,8.9,28.5,1.249,-0.888,2.199,-0.156,0.471,0.917,-54.014,30.272,-1.125,53,
247614,205121,106952,222478,365066,210597,207.4,8.9,28.6,3.638,-0.353,2.496,-0.168,0.483,0.923,-54.014,30.272,-1.125,53,
247625,205848,106639,222682,364168,210531,207.4,8.9,28.6,2.073,-0.368,3.107,-0.163,0.493,0.927,-58.816,31.459,1.125,53,
247636,206405,106756,223046,364264,210386,207.4,8.9,28.5,-2.011,1.074,2.84,-0.161,0.493,0.922,-56.415,31.459,0,53,
247647,206632,106751,223179,364296,210350,207.5,8.9,28.5,-4.225,3.12,2.908,-0.164,0.486,0.922,-55.215,31.459,1.125,53,
247658,203066,108681,222131,369995,209326,207.5,8.9,28.4,-4.095,3.509,3.458,-0.165,0.476,0.91,-56.415,29.085,-2.251,53,
247669,206219,107548,223209,366138,210028,207.5,8.9,28.3,-2.049,1.99,3.969,-0.162,0.462,0.897,-55.215,32.646,0,53,
247682,207303,107333,223621,365389,210058,207.6,8.9,28.3,-0.042,0.96,5,-0.165,0.452,0.882,-57.615,31.459,-1.125,53,
247693,207770,107444,223971,365379,209953,207.6,8.9,28.3,2.455,0.288,6.122,-0.156,0.463,0.88,-57.615,31.459,-1.125,53,
247704,207493,107520,224045,365904,209784,207.7,8.8,28.4,1.729,0.242,6.802,-0.151,0.487,0.878,-57.615,32.646,-2.251,53,
247715,208171,107448,224451,365893,209723,207.8,8.8,28.4,-1.835,1.029,6.252,-0.15,0.483,0.884,-57.615,32.646,-2.251,53,
247726,208439,107413,224565,365796,209598,207.8,8.8,28.4,-0.194,0.273,5.687,-0.155,0.492,0.877,-57.615,31.459,-1.125,53,
247737,208835,107609,224832,366093,209529,207.9,8.7,28.5,1.546,-0.437,5.458,-0.151,0.495,0.881,-55.215,30.272,-2.251,53,
247749,208919,107524,224859,366090,209487,207.9,8.7,28.5,-0.919,-0.857,5.542,-0.157,0.489,0.877,-57.615,30.272,0,53,
247759,209123,107788,225087,366821,209260,208,8.7,28.5,-0.69,-1.91,5.87,-0.157,0.481,0.874,-55.215,33.833,1.125,53,
247770,209039,107926,225305,367165,209063,208,8.6,28.5,1.5,-4.025,6.298,-0.154,0.492,0.872,-52.814,30.272,0,53,
247781,205900,109399,224287,372336,207933,208.1,8.5,28.6,0.226,-3.292,6.122,-0.149,0.492,0.883,-55.215,33.833,0,53,
247793,209161,108238,225464,368636,208747,208.1,8.5,28.6,-1.332,-3.742,6.328,-0.147,0.493,0.875,-56.415,32.646,1.125,53,
247803,210125,107879,225952,367649,208718,208.1,8.4,28.6,-1.034,-3.994,6.351,-0.147,0.511,0.899,-58.816,32.646,0,53,
247814,210675,107916,226350,367555,208785,208.2,8.3,28.6,-4.851,-2.307,5.084,-0.143,0.509,0.895,-56.415,30.272,-1.125,53,
247825,210465,107938,226405,368291,208579,208.2,8.3,28.6,-3.652,-3.506,4.038,-0.142,0.507,0.895,-55.215,30.272,1.125,53,
247836,211007,107817,226825,368088,208530,208.1,8.2,28.6,-0.896,-3.849,3.053,-0.144,0.497,0.896,-55.215,30.272,1.125,53,
247847,211293,107728,226903,368003,208514,208.2,8.2,28.6,1.363,-5.117,3.458,-0.147,0.495,0.895,-54.014,33.833,1.125,53,
247858,211743,107629,227233,368320,208345,208.1,8.1,28.7,3.042,-5.43,3.634,-0.145,0.499,0.904,-56.415,31.459,2.251,53,
247869,210407,108233,226864,370692,207887,208.2,8,28.7,2.958,-5.529,3.855,-0.143,0.5,0.908,-57.615,32.646,-1.125,53,
247880,211796,107833,227581,369400,208061,208.2,7.9,28.7,1.691,-6.292,3.344,-0.141,0.497,0.909,-52.814,31.459,1.125,53,
247891,212445,107749,227831,369046,208032,208.1,7.9,28.7,1.203,-5.353,2.893,-0.138,0.504,0.913,-60.016,30.272,1.125,53,
247902,212828,107803,228128,369218,208026,208.1,7.8,28.7,-1.828,-3.017,2.229,-0.138,0.489,0.911,-52.814,33.833,1.125,53,
247913,213043,107992,228429,369599,207962,208.1,7.8,28.7,-1.332,-3.697,1.985,-0.134,0.499,0.908,-54.014,31.459,0,53,
247924,213224,107836,228594,369693,207793,208.2,7.7,28.6,-2.087,-2.72,1.863,-0.131,0.488,0.921,-54.014,32.646,-1.125,53,
247935,213667,107732,228914,369611,207724,208.1,7.7,28.6,-1.248,-1.628,1.664,-0.138,0.489,0.916,-56.415,32.646,2.251,53,
247946,213681,107767,229046,369596,207552,208.2,7.6,28.6,0.783,-2.666,2.115,-0.138,0.491,0.916,-52.814,31.459,0,53,
247958,214203,107832,229388,369977,207432,208.2,7.6,28.6,1.233,-3.689,1.634,-0.136,0.491,0.907,-52.814,31.459,0,53,
247968,212572,108519,228878,372761,206828,208.1,7.6,28.6,1.882,-3.246,1.13,-0.131,0.493,0.912,-55.215,29.085,-1.125,53,
247979,214260,107985,229574,371107,207108,208.1,7.5,28.7,5.416,-3.04,0.679,-0.137,0.499,0.903,-55.215,31.459,1.125,53,
247990,214465,108003,229751,371262,206827,208.1,7.5,28.7,3.432,-2.43,0.886,-0.133,0.502,0.918,-57.615,32.646,0,53,
