Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
322167,-57329,-206504,846181,-147622,-929534,191.9,17,19.8,-6.843,-9.162,4.168,-0.315,0.312,0.973,-50.413,24.336,30.383,28,
322178,-57090,-206034,846275,-147372,-930769,191.9,16.9,19.6,-9.232,-7.979,1.061,-0.311,0.299,0.965,-51.614,25.523,30.383,28,
322189,-57087,-205489,846051,-146897,-932490,192,16.8,19.5,-7.759,-8.063,0.061,-0.316,0.295,0.96,-48.013,26.71,31.508,28,
322201,-56602,-205261,846325,-146994,-933675,192,16.8,19.4,-6.316,-6.674,-0.954,-0.313,0.291,0.95,-48.013,21.962,32.634,28,
322211,-58387,-203841,845076,-143936,-936430,192,16.8,19.2,-4.896,-6.101,-0.466,-0.313,0.276,0.933,-46.812,23.149,32.634,28,
322222,-56757,-204070,846018,-145856,-936790,192.1,16.8,19.2,-0.828,-5.055,-0.786,-0.308,0.278,0.934,-48.013,24.336,31.508,28,
322233,-56313,-203760,846367,-145861,-938126,192.1,16.8,19.1,3.516,-4.765,-0.275,-0.312,0.277,0.929,-48.013,24.336,31.508,28,
322244,-55857,-203518,846575,-145984,-939310,192.2,16.8,19.2,6.722,-3.895,-0.779,-0.313,0.276,0.912,-48.013,25.523,31.508,28,
322255,-55639,-203258,846703,-145700,-940333,192.2,16.8,19.3,10.943,-4.659,-0.939,-0.306,0.282,0.896,-46.812,21.962,32.634,28,
322266,-55291,-203054,846824,-145511,-941515,192.3,16.8,19.4,12.271,-3.865,-1.374,-0.307,0.296,0.908,-48.013,25.523,32.634,28,
322277,-55197,-202660,846895,-144869,-942750,192.4,16.7,19.6,9.63,-3.284,-2,-0.296,0.303,0.912,-46.812,25.523,32.634,28,
322288,-54836,-202488,847063,-144822,-943802,192.5,16.8,19.7,5.783,-2.315,-2.397,-0.305,0.313,0.905,-48.013,25.523,31.508,28,
322300,-54519,-202336,847251,-144520,-944853,192.5,16.7,19.8,1.31,-2.315,-3.023,-0.3,0.306,0.904,-46.812,25.523,31.508,28,
322310,-58202,-200452,844872,-138875,-948510,192.5,16.7,19.7,-1.698,-3.315,-3.458,-0.292,0.3,0.912,-50.413,23.149,31.508,28,
322322,-54957,-201737,846854,-142952,-947676,192.6,16.7,19.7,-2.767,-2.544,-3.611,-0.299,0.295,0.913,-48.013,25.523,31.508,28,
322332,-54270,-201643,847337,-143522,-948460,192.6,16.7,19.6,-2.645,-3.048,-3.313,-0.295,0.282,0.908,-46.812,25.523,33.759,28,
322343,-53754,-201461,847576,-143742,-949413,192.6,16.7,19.6,0.493,-2.002,-3.779,-0.291,0.276,0.906,-46.812,24.336,31.508,28,
322354,-53585,-200936,847713,-143541,-950453,192.7,16.7,19.5,3.684,-1.086,-4.076,-0.291,0.274,0.915,-46.812,24.336,31.508,28,
322366,-53306,-200462,847763,-143449,-951584,192.7,16.6,19.6,6.119,-1.323,-3.992,-0.291,0.284,0.91,-46.812,26.71,32.634,28,
322376,-53355,-199817,847867,-142927,-952640,192.8,16.6,19.6,6.172,0.212,-4.641,-0.294,0.287,0.92,-46.812,25.523,32.634,28,
