Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
899546,-43123,155681,92418,180154,12340,200.2,20.6,19.1,-1.309,-1.72,0.84,-0.357,0.312,0.907,-78.021,29.085,14.629,83,
899557,-41932,155479,93156,179053,12807,200.2,20.5,19.1,-0.751,-3.239,0.71,-0.353,0.306,0.908,-75.62,31.459,14.629,83,
899568,-41884,155276,93444,178660,12748,200.2,20.5,19.1,0.294,-2.33,1.023,-0.352,0.304,0.901,-75.62,30.272,16.879,83,
899580,-41500,155400,93916,178651,12783,200.2,20.4,19,0.707,-2.139,1.435,-0.352,0.307,0.91,-76.82,29.085,14.629,83,
899590,-41566,155336,94105,178642,12720,200.2,20.4,19.1,1.409,-2.727,0.962,-0.354,0.316,0.903,-75.62,27.898,14.629,83,
899601,-43248,156191,93975,181100,11713,200.2,20.4,19.1,1.416,-1.91,0.702,-0.351,0.316,0.916,-76.82,30.272,15.754,83,
899612,-41791,155539,94878,179373,12374,200.2,20.3,19.1,0.829,-1.536,0.473,-0.353,0.322,0.917,-76.82,30.272,15.754,83,
899623,-41518,155353,95287,178867,12492,200.2,20.3,19.1,-0.179,-1.208,0.26,-0.353,0.316,0.92,-76.82,30.272,15.754,83,
899634,-41271,155415,95599,178830,12553,200.2,20.3,19.1,-0.919,-2.231,0.252,-0.356,0.31,0.909,-76.82,27.898,14.629,83,
899645,-43052,156232,95309,181169,11488,200.1,20.3,19,0.165,-2.17,0.267,-0.353,0.308,0.916,-75.62,27.898,15.754,83,
899657,-42053,155894,96004,180309,11370,200.1,20.3,19,1.768,0.25,0.397,-0.347,0.311,0.915,-76.82,29.085,12.378,83,
899667,-48714,158749,94118,188707,8204,200.2,20.2,19.1,1.226,-0.04,0.511,-0.348,0.314,0.915,-74.42,30.272,12.378,83,
899678,-45344,157707,95376,185318,10153,200.2,20.2,19.1,0.707,-1.216,0.916,-0.353,0.314,0.903,-78.021,30.272,16.879,83,
899689,-42169,156114,96709,180617,11487,200.1,20.2,19,0.791,-2.689,0.763,-0.346,0.303,0.909,-75.62,29.085,13.504,83,
899700,-41743,156055,97302,180430,11674,200.1,20.1,19,0.126,-0.437,0.786,-0.343,0.313,0.925,-76.82,29.085,15.754,83,
