Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
215382,-19568,-75428,41184,11892,-33828,211.9,10.3,26.9,4.539,0.051,0.046,-0.187,0.449,0.91,-56.415,33.833,-5.626,47,
215392,-19630,-75450,41289,12121,-33965,211.9,10.3,26.9,2.516,-0.246,0.641,-0.183,0.457,0.917,-56.415,35.02,-3.376,47,
215403,-22986,-74496,40378,16789,-35005,211.8,10.3,26.9,0.249,-0.849,0.107,-0.183,0.463,0.915,-58.816,33.833,-2.251,47,
215414,-20264,-75375,41317,13226,-34245,211.8,10.3,26.8,-2.087,1.074,-0.542,-0.182,0.459,0.912,-58.816,33.833,-2.251,47,
215425,-19400,-75381,41916,12609,-33956,211.8,10.3,26.8,-2.08,0.883,-0.427,-0.178,0.456,0.908,-56.415,36.207,-4.501,47,
215437,-19554,-75404,41808,12525,-33992,211.8,10.3,26.8,-1.225,1.074,-0.038,-0.182,0.445,0.902,-57.615,37.395,-5.626,47,
215447,-19135,-75289,42224,12646,-33898,211.8,10.3,26.8,1.638,-0.239,0.405,-0.179,0.443,0.899,-57.615,35.02,-2.251,47,
215459,-19256,-75266,42215,12666,-33967,211.8,10.3,26.8,3.752,-0.315,0.366,-0.177,0.446,0.906,-56.415,33.833,-3.376,47,
215469,-19041,-75251,42409,12741,-34042,211.8,10.3,26.8,1.989,0.479,0.504,-0.179,0.461,0.904,-57.615,32.646,-2.251,47,
215480,-19084,-75104,42597,12876,-34007,211.8,10.3,26.8,1.409,0.708,0.389,-0.18,0.46,0.901,-56.415,33.833,-2.251,47,
215491,-18998,-75140,42671,12832,-34156,211.8,10.3,26.8,0.981,0.319,-0.412,-0.18,0.456,0.905,-55.215,35.02,-4.501,47,
215503,-20620,-74599,42237,15128,-34242,211.8,10.3,26.8,-0.713,1.349,-0.351,-0.183,0.445,0.902,-57.615,36.207,-5.626,47,
215517,-21256,-74357,42045,16043,-34715,211.7,10.3,26.8,0.668,0.296,-0.275,-0.184,0.443,0.908,-58.816,33.833,-5.626,47,
215528,-25022,-73067,40871,21542,-35550,211.7,10.3,26.7,-0.362,-0.949,0.313,-0.184,0.443,0.908,-56.415,35.02,-4.501,47,
215539,-27345,-72437,40036,24714,-36308,211.8,10.3,26.7,0.852,0.326,0.45,-0.187,0.447,0.91,-54.014,35.02,-6.752,47,
215549,-20657,-74256,42671,16514,-34621,211.8,10.3,26.7,0.958,-0.117,0.313,-0.185,0.451,0.915,-57.615,36.207,-5.626,47,
215560,-19087,-74809,43296,14463,-34298,211.8,10.3,26.7,0.737,-0.43,0.038,-0.187,0.454,0.917,-57.615,36.207,-3.376,47,
215571,-18648,-74992,43568,14050,-34203,211.8,10.3,26.7,-0.591,0.41,0.397,-0.185,0.446,0.921,-55.215,36.207,-2.251,47,
215583,-18404,-75001,43925,14047,-34268,211.8,10.3,26.7,0.714,0.586,0.252,-0.187,0.448,0.911,-57.615,36.207,-5.626,47,
215593,-18497,-74972,43901,14093,-34267,211.9,10.3,26.7,0.355,1.143,0.237,-0.179,0.452,0.92,-54.014,36.207,-3.376,47,
215604,-18439,-74834,44268,14346,-34268,211.9,10.3,26.7,-0.904,1.509,0.626,-0.183,0.45,0.912,-56.415,37.395,-4.501,47,
215615,-19520,-74560,43732,15751,-34532,211.9,10.3,26.7,-0.515,2.425,0.199,-0.178,0.445,0.914,-55.215,37.395,-4.501,47,
215626,-18345,-74609,44380,14855,-34321,212,10.3,26.7,1.34,2.227,0.389,-0.177,0.44,0.91,-55.215,37.395,-4.501,47,
215638,-18731,-74671,44247,15029,-34430,212,10.3,26.6,0.745,1.555,0.641,-0.18,0.44,0.902,-57.615,35.02,-4.501,47,
215649,-20379,-73972,43920,17713,-34997,212,10.3,26.6,1.493,1.036,0.664,-0.183,0.443,0.902,-56.415,35.02,-3.376,47,
215660,-18476,-74421,44518,15403,-34526,212,10.3,26.6,0.966,0.647,1.489,-0.181,0.452,0.907,-55.215,36.207,-4.501,47,
215670,-18202,-74421,44663,15227,-34428,212.1,10.3,26.6,-1.08,0.754,1.588,-0.186,0.457,0.912,-54.014,35.02,-4.501,47,
215681,-17856,-74539,45078,14985,-34399,212.1,10.3,26.6,-2.057,0.517,1.336,-0.181,0.453,0.91,-56.415,33.833,-3.376,47,
215692,-17896,-74534,45155,15020,-34420,212,10.3,26.6,-1.507,0.235,1.145,-0.178,0.45,0.907,-55.215,33.833,-2.251,47,
215703,-17697,-74443,45461,15249,-34317,212.1,10.3,26.6,-1.003,1.578,1.298,-0.179,0.447,0.915,-57.615,35.02,-5.626,47,
215715,-19836,-73968,44658,17925,-34931,212.1,10.3,26.6,0.707,0.853,1.298,-0.181,0.44,0.909,-56.415,36.207,-5.626,47,
