Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
202732,-48379,538247,528497,554207,112777,214.9,11.7,15.4,0.203,-0.162,-0.519,-0.207,0.246,0.978,-61.216,44.517,25.882,15,
202743,-48582,538740,529108,555600,112251,214.9,11.7,15.4,2.256,0.563,-0.405,-0.208,0.253,0.98,-60.016,46.892,25.882,15,
202753,-43392,535877,529974,547149,116264,215,11.7,15.4,4.058,1.311,-0.099,-0.206,0.26,0.992,-60.016,46.892,29.258,15,
202764,-41737,535169,530576,544793,117298,215,11.7,15.4,1.195,1.937,-0.328,-0.205,0.262,0.978,-60.016,46.892,29.258,15,
202775,-41562,535025,530951,544335,117439,215,11.7,15.4,-3.835,1.326,-0.435,-0.205,0.264,0.979,-58.816,44.517,29.258,15,
202786,-41474,535021,531409,544134,117468,215,11.7,15.3,-4.011,1.838,-0.511,-0.207,0.246,0.969,-58.816,46.892,28.132,15,
202797,-41393,535110,531815,544422,117359,215,11.7,15.2,-2.629,1.891,0.099,-0.209,0.241,0.969,-60.016,45.704,28.132,15,
202808,-44346,536531,531891,548955,115194,215.1,11.8,15.2,1.394,0.99,0.573,-0.216,0.248,0.959,-58.816,46.892,25.882,15,
202819,-41935,535592,532703,545843,116975,215.1,11.8,15.2,-0.11,1.403,0.74,-0.22,0.249,0.967,-60.016,48.079,25.882,15,
202830,-41534,535134,533096,544958,117193,215.1,11.8,15.2,-0.217,0.822,0.641,-0.216,0.251,0.962,-61.216,46.892,27.007,15,
202842,-41143,535223,533602,545021,117382,215.1,11.8,15.1,-1.866,0.876,0.809,-0.214,0.251,0.961,-61.216,45.704,28.132,15,
202852,-41550,535318,533948,545219,117040,215.1,11.8,15.1,-1.064,0.288,0.458,-0.215,0.252,0.958,-60.016,43.33,28.132,15,
202863,-41198,535289,534451,545268,117273,215.1,11.9,15.1,0.806,0.296,0.405,-0.213,0.255,0.965,-62.417,45.704,28.132,15,
202874,-41322,535358,534826,545303,117122,215.1,11.9,15.1,-0.377,1.112,0.58,-0.211,0.253,0.97,-58.816,44.517,30.383,15,
202885,-41137,535440,535256,545463,117177,215.1,11.9,15.1,1.5,0.532,0.87,-0.21,0.252,0.967,-58.816,44.517,30.383,15,
202896,-41103,535519,535776,545559,117151,215.1,11.9,15.1,1.394,0.349,1.061,-0.215,0.257,0.961,-61.216,44.517,28.132,15,
202907,-41362,535597,536085,545963,116993,215.2,11.9,15.1,0.607,0.082,0.863,-0.214,0.263,0.962,-62.417,46.892,28.132,15,
202918,-42362,536420,536624,548161,116176,215.2,11.9,15.1,0.249,1.265,0.008,-0.207,0.259,0.966,-60.016,44.517,28.132,15,
202929,-41470,535861,536905,546667,116794,215.2,11.9,15.1,-0.736,1.7,-0.076,-0.213,0.262,0.96,-60.016,44.517,28.132,15,
202941,-40949,535857,537503,546263,117079,215.2,11.9,15.1,0.271,-0.101,-0.26,-0.216,0.262,0.963,-56.415,45.704,29.258,15,
202952,-41349,535788,537781,546311,116894,215.2,11.9,15.1,0.897,-1.139,-0.114,-0.21,0.264,0.966,-61.216,43.33,29.258,15,
202963,-40936,535897,538466,546366,117093,215.1,11.9,15.1,0.676,-0.88,-0.481,-0.209,0.255,0.963,-62.417,42.143,31.508,15,
202974,-41065,535946,538762,546517,116918,215.1,11.9,15.1,0.271,0.181,-0.756,-0.208,0.263,0.964,-61.216,45.704,28.132,15,
202986,-40939,535956,539208,546603,116991,215.1,11.9,15.1,1.844,0.029,-0.626,-0.21,0.26,0.97,-57.615,45.704,29.258,15,
202996,-41502,536306,539652,547719,116567,215.2,11.9,15.1,0.241,0.601,-0.824,-0.211,0.255,0.969,-57.615,45.704,29.258,15,
203007,-41104,536056,540000,547072,116751,215.2,11.9,15.1,0.707,0.265,-0.71,-0.216,0.252,0.97,-58.816,44.517,25.882,15,
203018,-42199,536812,540376,549287,116004,215.1,11.9,15.1,0.478,-0.063,-0.702,-0.212,0.25,0.962,-61.216,44.517,28.132,15,
203029,-41326,536295,540747,547572,116476,215.2,11.9,15.1,1.088,-0.582,-0.824,-0.211,0.249,0.966,-58.816,46.892,29.258,15,
203041,-40770,536281,541380,547373,116830,215.2,11.9,15.1,0.325,-0.681,-0.557,-0.211,0.247,0.97,-62.417,46.892,28.132,15,
203051,-45090,538368,541293,553926,113502,215.1,11.9,15,1.18,-1.597,-0.069,-0.21,0.251,0.968,-61.216,44.517,25.882,15,
203062,-41705,536920,542120,549199,116180,215.1,11.8,15,0.363,-1.826,0.031,-0.204,0.252,0.967,-61.216,46.892,30.383,15,
203074,-41168,536427,542478,548010,116510,215.2,11.8,15,1.149,-1.582,-0.229,-0.21,0.251,0.97,-60.016,48.079,30.383,15,
203084,-40938,536485,543005,548126,116576,215.2,11.8,15,1.607,-0.75,-0.702,-0.209,0.253,0.969,-58.816,44.517,28.132,15,
203095,-40851,536392,543430,547878,116624,215.2,11.8,15.1,1.157,-0.269,-0.618,-0.207,0.253,0.972,-58.816,49.266,30.383,15,
203106,-40763,536455,543779,548062,116628,215.2,11.7,15.1,1.531,0.013,0.099,-0.205,0.254,0.977,-58.816,44.517,29.258,15,
203117,-42704,537558,544075,551471,114986,215.2,11.7,15,0.104,0.922,-0.282,-0.206,0.253,0.981,-58.816,44.517,29.258,15,
203129,-41231,536769,544589,549120,116273,215.2,11.7,15,-0.782,1.158,-0.252,-0.204,0.262,0.979,-61.216,44.517,29.258,15,
203140,-47998,540523,544424,559961,111583,215.2,11.8,15,-0.377,0.998,-0.076,-0.21,0.258,0.974,-61.216,45.704,24.757,15,
203150,-49087,540913,544552,561695,110399,215.3,11.8,15,-0.454,2.723,-0.351,-0.207,0.251,0.968,-56.415,45.704,27.007,15,
203161,-42638,537959,545767,552575,115122,215.3,11.8,15,1.684,1.029,0.008,-0.213,0.254,0.971,-60.016,44.517,28.132,15,
203172,-41302,537017,546202,549715,116152,215.3,11.8,15,2.195,0.593,-0.405,-0.208,0.256,0.963,-62.417,46.892,28.132,15,
203183,-40679,537110,546792,549294,116477,215.3,11.8,15,0.63,0.937,-0.725,-0.207,0.252,0.964,-62.417,46.892,28.132,15,
203194,-40599,537004,547094,549161,116422,215.2,11.8,15,0.539,0.906,-0.534,-0.209,0.258,0.963,-60.016,43.33,28.132,15,
203205,-40909,537303,547537,549854,116124,215.3,11.8,15,0.63,1.624,-0.153,-0.21,0.256,0.967,-61.216,48.079,28.132,15,
203216,-44224,539049,547519,555085,113934,215.3,11.8,15,-1.209,1.914,-0.114,-0.213,0.252,0.959,-60.016,44.517,30.383,15,
203227,-41354,537683,548185,550771,115804,215.3,11.9,15,-1.477,0.731,0.206,-0.211,0.249,0.956,-63.617,46.892,24.757,15,
203238,-40611,537478,548702,550098,116280,215.3,11.9,14.9,-0.874,-0.338,0.618,-0.214,0.244,0.962,-63.617,46.892,24.757,15,
203252,-40721,537440,549232,549773,116231,215.3,11.9,14.9,-1.202,-0.43,0.023,-0.216,0.245,0.955,-57.615,48.079,27.007,15,
203263,-40413,537611,549616,550073,116272,215.3,11.9,14.9,-0.69,-0.491,0.237,-0.21,0.242,0.959,-60.016,44.517,27.007,15,
203274,-40528,537494,550002,550101,116195,215.3,11.9,14.9,-0.087,-0.422,0.206,-0.216,0.246,0.966,-60.016,46.892,29.258,15,
203285,-40400,537624,550391,550140,116225,215.3,11.9,14.9,0.729,-1.651,0.55,-0.215,0.247,0.955,-60.016,43.33,29.258,15,
203296,-40265,537669,550824,550274,116158,215.3,11.9,14.8,1.027,-1.597,1.008,-0.214,0.249,0.959,-58.816,43.33,28.132,15,
203308,-40595,537872,551201,550616,116001,215.3,11.9,14.8,0.562,0.319,0.412,-0.209,0.249,0.963,-61.216,45.704,27.007,15,
203319,-43241,539450,551430,555408,113863,215.3,11.9,14.9,1.065,-0.346,0.618,-0.215,0.255,0.959,-61.216,45.704,27.007,15,
203330,-41173,538269,551844,551763,115571,215.3,11.9,14.8,-0.767,0.021,0.252,-0.209,0.253,0.959,-60.016,44.517,28.132,15,
203341,-40394,538140,552440,550984,116078,215.3,11.9,14.8,-0.744,-0.765,0.641,-0.21,0.248,0.965,-60.016,44.517,28.132,15,
203352,-40443,537970,552709,550811,115969,215.4,11.8,14.8,0.126,-1.437,0.756,-0.209,0.246,0.972,-58.816,48.079,30.383,15,
203363,-40814,538573,553288,552006,115616,215.4,11.8,14.8,0.035,-1.04,0.733,-0.21,0.25,0.967,-62.417,46.892,29.258,15,
203374,-40415,538224,553637,551264,115946,215.4,11.8,14.8,0.707,-1.521,0.55,-0.205,0.247,0.969,-58.816,48.079,29.258,15,
203386,-40479,538338,554038,551538,115685,215.5,11.7,14.9,2.165,-1.346,0.489,-0.208,0.253,0.973,-57.615,46.892,29.258,15,
203396,-40402,538346,554518,551545,115933,215.4,11.7,14.8,0.371,-1.941,0.183,-0.202,0.247,0.964,-61.216,44.517,28.132,15,
203407,-40278,538350,554783,551410,115929,215.5,11.7,14.8,0.302,-0.834,-0.053,-0.208,0.252,0.97,-60.016,46.892,30.383,15,
203418,-40233,538510,555404,551647,115301,215.4,11.7,14.8,1.737,-0.33,0.031,-0.207,0.25,0.973,-60.016,44.517,28.132,15,
203429,-41277,539056,555527,553261,115041,215.5,11.6,14.9,2.653,0.006,-0.053,-0.199,0.254,0.978,-58.816,48.079,27.007,15,
203441,-40466,538874,556137,552480,115472,215.5,11.6,14.9,0.104,-1.315,-0.176,-0.205,0.258,0.979,-58.816,48.079,27.007,15,
203452,-43197,540197,556169,556587,113555,215.5,11.6,14.9,-2.851,1.036,-0.427,-0.205,0.258,0.982,-61.216,46.892,28.132,15,
203462,-44694,541247,556630,559652,112837,215.6,11.6,14.8,-3.133,0.952,-0.336,-0.205,0.246,0.979,-61.216,48.079,28.132,15,
203473,-41196,539491,557161,553797,115039,215.5,11.6,14.8,0.386,1.41,-0.076,-0.205,0.245,0.972,-62.417,45.704,28.132,15,
203485,-40219,539160,557643,552686,115816,215.5,11.6,14.8,2.218,0.395,-0.626,-0.206,0.244,0.964,-60.016,44.517,29.258,15,
203495,-40082,539184,558036,552322,115769,215.6,11.6,14.8,2.722,-0.292,-0.748,-0.202,0.248,0.974,-58.816,48.079,28.132,15,
203506,-40102,539259,558467,552412,115692,215.5,11.6,14.8,3.699,-1.506,-1.191,-0.199,0.251,0.981,-58.816,44.517,28.132,15,
203517,-40335,539501,558895,553038,115446,215.5,11.5,14.8,3.684,-0.781,-0.908,-0.201,0.249,0.984,-62.417,46.892,27.007,15,
203528,-41847,540462,559039,555546,114415,215.6,11.5,14.8,2.592,-0.407,-0.359,-0.197,0.247,0.983,-55.215,48.079,27.007,15,
203539,-40262,539930,559755,553489,115435,215.6,11.5,14.9,2.775,1.273,-0.015,-0.202,0.261,0.978,-60.016,46.892,28.132,15,
203550,-40169,539796,559995,553135,115407,215.7,11.5,14.9,1.989,2.158,0.298,-0.204,0.258,0.977,-57.615,46.892,27.007,15,
203561,-39861,539997,560552,553225,115609,215.7,11.5,14.9,-0.736,4.258,-0.336,-0.208,0.257,0.97,-57.615,46.892,27.007,15,
203572,-40145,539979,560720,553350,115378,215.7,11.5,14.9,-1.538,2.425,-0.282,-0.208,0.249,0.957,-60.016,45.704,28.132,15,
203583,-39800,540278,561191,553360,115634,215.7,11.6,14.9,0.562,0.723,-0.237,-0.215,0.249,0.966,-61.216,45.704,28.132,15,
203594,-39986,540235,561397,553498,115473,215.7,11.6,14.9,1.348,-0.048,0.069,-0.21,0.247,0.963,-62.417,45.704,27.007,15,
203606,-39871,540349,561982,553696,115499,215.7,11.6,14.9,1.279,-1.72,0.244,-0.208,0.246,0.955,-61.216,45.704,29.258,15,
203616,-39995,540546,562285,554131,115389,215.7,11.6,14.9,2.081,-2.178,0.519,-0.208,0.253,0.965,-58.816,43.33,28.132,15,
203627,-43072,542308,562392,559046,112908,215.7,11.6,14.9,3.539,-0.758,0.244,-0.202,0.255,0.967,-61.216,45.704,29.258,15,
203638,-40552,541346,563033,555600,114997,215.7,11.6,14.9,2.592,0.876,0.115,-0.207,0.26,0.972,-60.016,45.704,27.007,15,
203649,-40081,541167,563349,554679,115177,215.7,11.6,14.9,-1.446,1.906,-0.16,-0.204,0.253,0.975,-61.216,46.892,25.882,15,
203660,-39700,541386,563827,554732,115357,215.7,11.6,14.9,-2.164,1.143,0.053,-0.204,0.25,0.966,-60.016,44.517,30.383,15,
203671,-40065,541492,564031,554668,115138,215.6,11.6,14.8,-1.232,0.357,-0.107,-0.21,0.24,0.968,-62.417,46.892,28.132,15,
203682,-39632,541726,564465,554737,115365,215.6,11.6,14.8,0.684,-0.361,0.153,-0.212,0.236,0.969,-62.417,46.892,28.132,15,
203693,-40125,541995,564709,555200,115110,215.6,11.7,14.8,2.012,-0.399,0.015,-0.21,0.248,0.963,-61.216,46.892,27.007,15,
203704,-39762,542112,565188,555089,115172,215.7,11.6,14.8,3.661,-0.941,-0.16,-0.202,0.251,0.963,-58.816,45.704,28.132,15,
203715,-39671,542381,565592,555112,115100,215.7,11.6,14.8,3.607,-0.078,0.344,-0.201,0.255,0.964,-57.615,44.517,31.508,15,
203726,-41226,543154,565797,557345,113161,215.7,11.6,14.9,1.562,-0.498,0.863,-0.209,0.262,0.972,-60.016,45.704,28.132,15,
203737,-40628,543232,566233,556881,114445,215.7,11.6,14.9,-1.232,0.815,1,-0.205,0.268,0.975,-61.216,45.704,30.383,15,
203749,-42545,544198,566401,559444,112562,215.7,11.6,14.8,-5.851,3.174,0.42,-0.203,0.253,0.966,-62.417,45.704,28.132,15,
203759,-44398,545710,566571,563333,111618,215.7,11.7,14.8,-3.576,2.265,0.542,-0.207,0.248,0.959,-60.016,46.892,28.132,15,
203770,-41936,544421,567028,559317,113569,215.7,11.7,14.7,0.195,-0.284,0.565,-0.207,0.243,0.959,-61.216,44.517,28.132,15,
203781,-39982,543838,567695,556599,114680,215.7,11.7,14.8,2.18,-0.376,0.313,-0.207,0.249,0.963,-62.417,46.892,28.132,15,
203793,-39804,543696,567969,556092,114758,215.7,11.7,14.8,0.943,-1.307,0.344,-0.208,0.254,0.961,-60.016,45.704,29.258,17,
203803,-39515,543824,568583,556130,114964,215.7,11.6,14.8,0.165,-2.178,0.664,-0.202,0.257,0.97,-60.016,45.704,29.258,17,
203814,-39578,543897,568890,556106,114848,215.7,11.6,14.8,-0.988,-0.788,0.435,-0.202,0.253,0.97,-57.615,45.704,31.508,17,
203825,-39939,544414,569273,556897,114509,215.7,11.6,14.7,-0.79,-0.017,0.687,-0.202,0.251,0.98,-60.016,43.33,30.383,17,
203836,-41165,545320,569481,559130,113829,215.7,11.6,14.7,-1.08,1.57,0.214,-0.203,0.251,0.978,-57.615,44.517,29.258,17,
