Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
419312,10929,4679,42253,-24531,-37716,191.7,16.2,10.5,12.34,16.815,-2.458,-0.287,0.199,0.954,-67.218,14.839,22.506,68,
419324,19430,2309,46991,-37062,-33459,191.6,16.3,10.6,13.264,15.059,-2.977,-0.272,0.19,0.934,-67.218,14.839,22.506,68,
419334,22166,1885,50035,-42300,-32353,191.7,16.4,10.9,13.859,13.853,-2.863,-0.275,0.202,0.929,-66.018,17.213,24.757,68,
419345,23429,1567,51690,-44245,-31685,191.7,16.5,11.1,16.882,13.586,-4.107,-0.271,0.202,0.948,-66.018,16.026,22.506,68,
419356,23742,1598,52862,-44968,-31907,191.7,16.7,11.3,18.905,15.242,-5.809,-0.283,0.212,0.953,-67.218,17.213,23.631,68,
419367,24725,1710,54421,-45926,-31719,191.7,16.8,11.5,19.936,15.906,-7.168,-0.283,0.213,0.96,-66.018,17.213,25.882,68,
419378,25340,2197,55386,-46558,-31616,191.6,17,11.8,20.409,15.357,-7,-0.293,0.218,0.965,-68.418,17.213,23.631,68,
419389,24290,3448,55650,-44771,-32336,191.6,17.1,12.1,22.134,12.586,-6.931,-0.299,0.224,0.956,-68.418,19.588,21.381,68,
419401,26327,3578,57490,-46580,-31611,191.6,17.2,12.3,20.478,10.967,-6.611,-0.291,0.222,0.952,-66.018,17.213,24.757,68,
419412,20845,6343,56046,-39312,-34875,191.6,17.3,12.5,19.584,10.349,-5.672,-0.285,0.211,0.966,-66.018,16.026,22.506,68,
419423,24516,5866,58001,-42889,-33013,191.7,17.3,12.7,18.042,11.189,-4.863,-0.293,0.215,0.956,-67.218,23.149,19.13,68,
419433,27299,5243,59885,-46473,-31579,191.7,17.4,12.9,19.279,10.166,-4.641,-0.295,0.21,0.951,-67.218,19.588,22.506,68,
419444,28829,5693,60923,-47476,-31227,191.7,17.5,13.2,18.997,8.448,-3.947,-0.303,0.223,0.951,-67.218,19.588,22.506,68,
419455,29216,6128,61601,-47779,-31151,191.7,17.6,13.3,13.775,7.479,-3.725,-0.302,0.223,0.956,-68.418,17.213,21.381,68,
419466,30047,6628,62666,-48157,-30991,191.7,17.6,13.4,9.073,7.265,-3.29,-0.292,0.215,0.951,-68.418,18.4,23.631,68,
419477,29946,7380,63063,-47856,-31177,191.6,17.7,13.4,7.355,6.212,-3.069,-0.3,0.21,0.948,-69.618,18.4,22.506,68,
419490,30457,8131,63923,-47631,-31149,191.6,17.7,13.4,7.897,6.189,-1.779,-0.296,0.199,0.93,-69.618,18.4,22.506,68,
419501,25762,11221,62744,-40928,-33883,191.6,17.8,13.4,7.752,7.761,-0.305,-0.306,0.181,0.939,-68.418,18.4,20.255,68,
