Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
124681,-32705,-53467,-39975,-28107,-131132,179.4,17.9,18.6,4.333,29.387,9.702,-0.297,0.297,0.917,-45.612,11.278,20.255,44,
124691,-30777,-54137,-38700,-29867,-129901,179.7,18.1,18.7,3.31,33.693,9.29,-0.294,0.301,0.924,-45.612,11.278,20.255,44,
124702,-29990,-54343,-38051,-30526,-129472,180.1,18.4,18.9,-0.904,35.364,8.939,-0.312,0.298,0.945,-49.213,14.839,21.381,44,
124713,-29649,-54391,-37706,-30505,-129413,180.4,18.7,19,-2.874,34.807,9.992,-0.328,0.291,0.894,-48.013,13.652,16.879,44,
124724,-29454,-54942,-37523,-30576,-129551,180.8,19.1,19.1,-3.385,33.685,10.252,-0.342,0.283,0.877,-50.413,14.839,20.255,44,
124735,-29625,-55270,-37726,-30232,-129851,181.1,19.4,19.2,0.676,29.731,11.069,-0.352,0.276,0.847,-51.614,14.839,19.13,44,
124746,-29240,-55910,-37501,-30564,-129912,181.4,19.7,19.3,3.333,27.105,10.969,-0.355,0.269,0.895,-48.013,13.652,19.13,44,
124757,-29089,-56160,-37433,-30638,-130173,181.8,19.9,19.6,9.989,29.296,10.847,-0.339,0.275,0.866,-51.614,16.026,16.879,44,
124768,-28942,-56239,-37291,-30491,-130254,182.1,20.2,19.8,10.18,30.54,11.786,-0.353,0.296,0.874,-50.413,13.652,19.13,44,
124779,-32728,-54328,-39700,-25150,-132736,182.5,20.4,20,8.676,29.349,11.847,-0.345,0.302,0.876,-50.413,14.839,15.754,44,
124790,-29401,-55538,-37344,-28698,-130664,182.8,20.7,20.2,4.714,29.693,11.069,-0.355,0.296,0.864,-51.614,13.652,16.879,44,
124801,-28367,-55737,-36606,-29340,-129812,183.2,20.9,20.3,1.004,28.387,9.573,-0.352,0.294,0.874,-50.413,17.213,19.13,44,
124812,-27993,-55913,-36213,-29434,-129625,183.5,21.2,20.4,0.455,27.158,8.634,-0.372,0.28,0.86,-50.413,17.213,19.13,44,
124823,-27862,-56163,-36037,-29436,-129665,183.8,21.5,20.6,1.584,26.28,9.893,-0.384,0.274,0.833,-52.814,18.4,16.879,44,
124834,-27703,-56256,-35837,-29006,-129529,184.2,21.8,20.7,7.134,22.777,11.397,-0.393,0.274,0.809,-54.014,17.213,14.629,44,
124845,-27453,-56599,-35570,-28968,-129389,184.5,22,20.9,10.493,16.578,13.733,-0.398,0.277,0.824,-51.614,16.026,16.879,44,
124856,-27088,-56493,-35156,-28625,-128989,184.8,22.1,21.1,9.271,11.67,14.794,-0.375,0.286,0.83,-54.014,18.4,16.879,44,
124867,-26912,-56528,-34845,-28439,-128793,185.1,22.1,21.3,7.096,10.746,14.076,-0.372,0.293,0.858,-55.215,18.4,19.13,44,
124878,-31503,-54153,-37770,-22321,-130921,185.4,22.1,21.4,3.539,12.899,12.023,-0.352,0.305,0.878,-56.415,19.588,16.879,44,
124889,-27847,-55445,-35044,-25953,-128966,185.6,22.1,21.4,-0.209,14.769,9.649,-0.362,0.313,0.9,-56.415,16.026,16.879,44,
124900,-26297,-55540,-33681,-27053,-127623,185.9,22.2,21.4,-10.271,18.258,7.824,-0.371,0.308,0.894,-55.215,20.775,16.879,44,
124912,-25908,-55555,-33161,-27088,-127111,186.1,22.4,21.3,-16.095,18.181,8.176,-0.38,0.289,0.877,-55.215,18.4,15.754,44,
124922,-25920,-55695,-33011,-26757,-126968,186.4,22.5,21.1,-15.736,15.723,9.26,-0.394,0.27,0.866,-57.615,18.4,15.754,44,
124933,-25617,-56025,-32668,-26930,-126374,186.6,22.6,20.9,-14.423,11.555,11.809,-0.393,0.252,0.856,-57.615,18.4,15.754,44,
124944,-25564,-56685,-32578,-27035,-125932,186.8,22.7,20.7,-11.629,7.296,14.435,-0.392,0.238,0.861,-57.615,18.4,14.629,44,
124955,-25590,-56938,-32392,-27150,-124678,187.1,22.7,20.6,-4.545,3.525,16.794,-0.382,0.236,0.841,-56.415,20.775,15.754,44,
124966,-25901,-57224,-32490,-27082,-123676,187.3,22.6,20.6,-0.08,1.097,19.29,-0.385,0.234,0.867,-56.415,18.4,16.879,44,
124978,-25742,-57628,-32430,-27409,-121777,187.6,22.5,20.6,5.958,-0.826,20.664,-0.384,0.25,0.862,-56.415,20.775,13.504,44,
