Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
46419,364624,206849,222043,386711,-57303,339.4,22.7,17.1,12.18,47.922,4.061,-0.381,0.263,0.929,7.202,27.898,45.012,29,
46429,434599,241183,267433,438147,-30593,339.3,23.5,17.1,14.394,51.868,4.573,-0.403,0.241,0.913,4.801,26.71,45.012,29,
46441,532887,288762,313702,489572,-2362,339.2,24.3,17.2,16.126,55.738,5.092,-0.421,0.237,0.92,4.801,27.898,43.887,29,
46451,652829,354286,364748,541443,27564,339.2,25,17.4,19.852,55.746,5.366,-0.439,0.255,0.935,7.202,30.272,46.137,29,
46462,772018,441620,430200,604396,63660,339.2,25.2,17.2,27.035,53.609,4.794,-0.402,0.243,0.856,6.002,25.523,47.263,29,
46473,852885,510554,496924,667219,94634,339.4,25.7,18.1,28.821,48.25,4.428,-0.418,0.286,0.862,3.601,29.085,47.263,29,
46484,928436,576249,572884,738828,133872,339.7,26.1,19,26.416,45.235,4.443,-0.43,0.316,0.876,2.401,29.085,47.263,29,
46496,988544,629562,640152,802295,176659,340.1,26.5,19.9,20.439,46.021,4.511,-0.468,0.35,0.902,1.2,29.085,48.388,29,
46506,1060429,691852,725121,877399,236731,340.3,26.9,20.3,5.577,50.586,4.786,-0.462,0.327,0.891,1.2,29.085,48.388,29,
46517,1123597,748631,805696,948005,288179,340.5,27.5,20.2,1.165,58.616,4.641,-0.463,0.295,0.855,0,29.085,49.513,29,
46528,1208929,823321,911098,1033097,345331,340.2,28.2,19.5,2.203,65.593,3.939,-0.481,0.222,0.918,-2.401,30.272,47.263,29,
46539,1293227,900572,1008478,1108863,390265,340,28.6,19.1,21.531,73.334,5.74,-0.469,0.24,0.906,-3.601,29.085,46.137,29,
46550,1399946,995433,1122070,1199875,438384,340.2,29.4,19.7,21.775,75.586,7.26,-0.497,0.286,0.892,-3.601,29.085,45.012,29,
46561,1498347,1076964,1218089,1278051,477783,340.7,30.1,20.7,20.844,63.693,3.382,-0.546,0.388,0.857,-2.401,30.272,47.263,29,
46573,1610857,1169375,1320137,1365331,524151,341.1,30.8,21.6,7.905,41.723,-3.855,-0.573,0.43,0.787,-6.002,31.459,46.137,29,
46583,1710557,1257567,1405864,1438975,560957,341.3,31.4,22,-13.813,16.647,-7.466,-0.604,0.388,0.683,-3.601,29.085,46.137,29,
46594,1811227,1373454,1494760,1527062,616525,341.3,31.9,22.1,-5.69,-5.292,-7.221,-0.571,0.306,0.687,-6.002,27.898,43.887,29,
46605,1901876,1463749,1572534,1593214,659507,340.9,32.4,21.6,-11.141,-10.216,-8.374,-0.513,0.212,0.688,-7.202,30.272,43.887,29,
46616,1996077,1558725,1651959,1661459,707841,340.3,32,20.7,8.882,-1.834,-1.252,-0.431,0.157,0.823,-6.002,30.272,45.012,29,
46628,2065384,1637644,1721813,1727906,741557,340,31.5,20.4,21.997,23.196,2.565,-0.364,0.173,0.876,-6.002,30.272,45.012,29,
46638,2131716,1715940,1789267,1789921,777217,339.7,31.2,20.4,15.027,36.212,1.534,-0.552,0.305,1.025,-6.002,31.459,43.887,29,
46650,2190764,1788836,1853383,1847159,810065,339.8,30.7,20.9,23.065,45.41,1.038,-0.318,0.339,0.973,-7.202,33.833,42.761,29,
46661,2243907,1860311,1910222,1899595,835473,340.1,31.1,21.9,25.607,54.593,-12.29,-0.454,0.353,0.825,-8.402,31.459,40.511,29,
46671,2292136,1928316,1962967,1950154,866153,340.2,31.8,22.4,5.539,29.097,-11.221,-0.595,0.358,0.759,-6.002,29.085,40.511,29,
46683,2338432,1988501,2015403,1991969,891920,340,32.5,22.3,19.791,-0.315,4.023,-0.62,0.16,0.721,-8.402,31.459,39.385,29,
46693,2384223,2040275,2067066,2030865,927231,339.6,33,22.3,17.172,-3.582,3.199,-0.611,0.216,0.806,-8.402,32.646,37.135,29,
