Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
49379,20405,-66019,111044,-94,-53538,197.4,20.1,24.3,-2.835,-4.246,6.382,-0.354,0.377,0.878,-56.415,16.026,-7.877,42,
49390,17011,-64719,110328,5551,-54936,197.5,20,24.2,-3.851,-5.254,6.618,-0.343,0.387,0.881,-57.615,16.026,-9.002,42,
49401,19934,-65520,111224,1778,-54081,197.5,19.9,24.2,-5.568,-2.559,6.328,-0.342,0.387,0.893,-58.816,13.652,-6.752,42,
49412,21249,-65509,111873,821,-53777,197.5,19.9,24.1,-6.629,-1.704,6.542,-0.353,0.391,0.893,-56.415,13.652,-6.752,42,
49422,20059,-65011,111357,2378,-54340,197.6,19.9,24,-7.24,-3.414,7.435,-0.363,0.383,0.886,-57.615,13.652,-7.877,42,
49433,21678,-65121,111924,1058,-53877,197.6,19.8,23.9,-6.66,-6.399,8.802,-0.364,0.382,0.883,-56.415,14.839,-5.626,42,
49445,22147,-65009,112097,731,-53944,197.6,19.7,23.9,-8.813,-11.055,9.504,-0.364,0.391,0.887,-58.816,17.213,-6.752,42,
49455,21607,-64581,112061,1982,-54332,197.7,19.5,23.8,-13.614,-11.765,8.847,-0.355,0.396,0.889,-56.415,16.026,-9.002,42,
49466,16061,-62509,110916,10177,-56319,197.7,19.4,23.6,-17.293,-15.559,9.023,-0.354,0.37,0.863,-57.615,16.026,-7.877,42,
49477,15531,-62214,110973,11343,-56528,197.7,19.2,23.4,-11.813,-17.109,9.969,-0.34,0.352,0.886,-57.615,16.026,-7.877,42,
49488,17242,-62022,111935,10324,-55985,197.7,19,23.3,-8.858,-18.254,10.985,-0.34,0.362,0.892,-57.615,13.652,-6.752,42,
49499,22132,-63618,113664,3892,-54560,197.7,18.8,23.1,-10.98,-14.262,12.076,-0.334,0.355,0.904,-57.615,13.652,-6.752,42,
49511,23951,-63806,114973,2420,-54150,197.8,18.6,23,-11.332,-15.216,14.931,-0.33,0.351,0.885,-57.615,17.213,-5.626,42,
49521,21326,-63062,114562,6042,-55043,197.9,18.4,22.8,-9.324,-16.926,17.924,-0.324,0.343,0.898,-56.415,16.026,-5.626,42,
49532,24188,-63599,116075,2980,-54187,198,18.2,22.7,-12.08,-18.437,20.122,-0.325,0.351,0.894,-55.215,17.213,-6.752,42,
49543,24633,-63800,116785,2246,-54062,198.1,17.9,22.6,-11.553,-24.124,21.969,-0.314,0.353,0.884,-55.215,16.026,-5.626,42,
49554,25105,-63663,118115,2231,-53994,198.2,17.5,22.5,-12.362,-29.01,23.618,-0.309,0.356,0.895,-55.215,16.026,-5.626,42,
49566,25204,-63862,119020,2254,-54132,198.3,17.1,22.4,-15.187,-31.681,23.382,-0.297,0.385,0.902,-56.415,17.213,-6.752,42,
49576,25137,-64088,120090,2747,-54486,198.4,16.7,22.2,-21.332,-30.834,22.878,-0.275,0.352,0.903,-56.415,16.026,-5.626,42,
49587,16517,-61763,118771,14304,-57675,198.5,16.3,22,-21.507,-29.284,23.267,-0.263,0.354,0.894,-55.215,16.026,-6.752,42,
49598,22260,-63826,121986,6805,-55724,198.6,15.9,21.8,-15.286,-29.43,22.42,-0.25,0.358,0.933,-54.014,19.588,-3.376,42,
49610,24590,-64931,124540,4077,-55302,198.8,15.5,21.7,-14.118,-21.613,20.061,-0.233,0.374,0.939,-54.014,17.213,-4.501,42,
49620,20711,-64440,124505,9164,-56741,198.9,15.2,21.5,-18.675,-14.62,18.359,-0.235,0.346,0.946,-54.014,17.213,-4.501,42,
49631,24296,-65524,126799,4872,-55593,198.9,15,21.4,-12.561,-12.407,17.351,-0.26,0.354,0.927,-57.615,16.026,-4.501,42,
49642,25076,-66147,127739,3634,-55545,199.1,14.8,21.3,-6.851,-13.567,16.557,-0.261,0.354,0.923,-50.413,17.213,-3.376,42,
49653,25487,-66340,129243,3601,-55457,199.1,14.6,21.3,-5.667,-16.361,15.809,-0.261,0.367,0.922,-55.215,14.839,-5.626,42,
49664,25536,-66795,130064,3824,-55631,199.2,14.4,21.3,-8.187,-18.063,15.29,-0.259,0.376,0.921,-52.814,18.4,-3.376,42,
49675,21103,-65712,129530,9853,-57411,199.3,14.2,21.2,-10.011,-19.376,15.84,-0.261,0.37,0.93,-52.814,18.4,-4.501,42,
49687,19048,-65342,129867,12637,-58147,199.4,13.9,21.2,-9.309,-18.811,15.947,-0.247,0.366,0.927,-54.014,17.213,-4.501,42,
49698,21452,-66498,131932,9846,-57446,199.5,13.7,21.1,-9.622,-16.804,14.893,-0.239,0.369,0.938,-54.014,19.588,-5.626,42,
49709,25223,-68152,134781,5429,-56373,199.6,13.5,21,-9.164,-11.926,12.695,-0.227,0.37,0.939,-55.215,17.213,-2.251,42,
49720,25975,-68859,136151,4346,-56359,199.6,13.4,21,-10.996,-5.521,9.496,-0.228,0.378,0.943,-52.814,17.213,-3.376,42,
49731,25218,-68868,136956,5725,-56736,199.7,13.4,20.8,-13.69,-2.636,6.786,-0.242,0.366,0.932,-52.814,17.213,-3.376,42,
49743,26129,-69306,137643,4126,-56531,199.7,13.4,20.8,-12.202,-4.2,5.305,-0.262,0.368,0.916,-52.814,18.4,-2.251,42,
49753,26691,-69386,138404,3883,-56644,199.8,13.3,20.7,-11.82,-5.926,5.275,-0.257,0.37,0.913,-52.814,18.4,-3.376,42,
49764,26871,-69375,138828,3844,-56694,199.8,13.3,20.5,-17.416,-8.834,7.473,-0.253,0.347,0.895,-52.814,17.213,-1.125,42,
49775,27087,-69245,139670,3883,-56784,199.8,13.1,20.4,-11.003,-14.147,10.099,-0.243,0.336,0.902,-54.014,19.588,-1.125,42,
49786,27392,-69226,140560,3881,-56844,199.9,12.9,20.4,-7.133,-15.826,12.405,-0.224,0.356,0.921,-52.814,18.4,0,42,
49797,27477,-69399,141802,4056,-56918,200,12.7,20.4,-6.835,-12.926,12.618,-0.205,0.352,0.947,-51.614,18.4,-4.501,42,
49809,27856,-69510,143400,4188,-57110,200.1,12.5,20.3,-6.332,-11.239,12.542,-0.197,0.363,0.95,-51.614,19.588,-3.376,42,
49819,27771,-69881,145082,4339,-57216,200.2,12.3,20.3,-5.515,-5.926,10.344,-0.182,0.364,0.969,-54.014,20.775,0,42,
49830,25482,-69389,145883,8186,-58138,200.2,12.2,20.3,-6.767,-1.59,7.611,-0.181,0.369,0.986,-55.215,18.4,-3.376,42,
49841,27707,-70343,147624,4815,-57488,200.3,12.1,20.2,-7.606,2.326,5.878,-0.193,0.365,0.981,-54.014,19.588,-2.251,42,
49853,28444,-70345,148897,4218,-57399,200.3,12.1,20.1,-8.362,1.41,5.29,-0.209,0.346,0.967,-54.014,19.588,-2.251,42,
49863,19624,-67212,146617,16035,-59832,200.4,12.1,20,-5.767,-0.888,5.611,-0.213,0.33,0.956,-54.014,18.4,-5.626,42,
49875,25165,-68941,149533,9418,-58548,200.4,12,19.9,-3.896,-1.437,6.931,-0.213,0.326,0.963,-56.415,16.026,-2.251,42,
49885,26416,-69396,150942,7445,-58436,200.4,12,19.9,-2.225,-0.605,7.802,-0.215,0.316,0.957,-54.014,16.026,-2.251,42,
49897,24717,-68731,151222,10324,-59123,200.4,12,19.8,-1.324,0.509,8.298,-0.221,0.308,0.932,-52.814,19.588,-2.251,42,
49907,22573,-67770,151603,13458,-59717,200.5,12,19.8,-0.232,0.212,9.328,-0.227,0.303,0.926,-52.814,19.588,-3.376,42,
49919,22694,-67525,152017,13705,-59597,200.6,12,19.7,-2.66,-0.147,10.565,-0.233,0.303,0.93,-51.614,19.588,-3.376,42,
49929,25241,-68176,153872,10729,-59161,200.7,12,19.6,-3.087,-1.239,12.26,-0.236,0.299,0.93,-54.014,17.213,-4.501,42,
49940,28719,-69455,155995,5626,-58332,200.8,12,19.6,-2.064,-3.987,13.206,-0.228,0.306,0.906,-55.215,18.4,-1.125,42,
49951,30109,-69618,157788,4385,-58106,200.9,11.9,19.6,-3.889,-6.536,15.145,-0.222,0.324,0.925,-52.814,19.588,-1.125,42,
49962,30252,-69960,159011,3867,-58137,201,11.8,19.6,-5.003,-7.865,16.634,-0.223,0.329,0.914,-52.814,19.588,-1.125,42,
49973,30394,-70080,161090,4323,-58258,201.1,11.7,19.6,-4.645,-11.681,17.817,-0.216,0.338,0.914,-52.814,19.588,-1.125,42,
49984,27444,-69757,162326,7826,-59311,201.2,11.5,19.6,-2.797,-13.063,16.748,-0.199,0.354,0.931,-54.014,19.588,-2.251,42,
49995,23520,-69299,163978,13411,-60572,201.3,11.3,19.6,-3.545,-11.414,14.603,-0.191,0.361,0.962,-52.814,18.4,-2.251,42,
50006,28127,-70822,167797,8002,-59279,201.4,11.1,19.7,-0.774,-9.101,12.153,-0.182,0.357,0.957,-52.814,20.775,-2.251,42,
50017,30531,-71722,171548,4715,-58738,201.6,11,19.8,2.134,-4.865,10.382,-0.173,0.377,0.968,-51.614,23.149,0,42,
50028,29416,-71467,173230,6173,-59432,201.6,10.9,19.8,1.249,-1.697,9.046,-0.176,0.377,0.974,-54.014,20.775,0,42,
50039,30445,-71758,175798,5179,-59146,201.7,10.8,19.9,-1.095,-0.04,8.351,-0.18,0.371,0.973,-52.814,19.588,-3.376,42,
50050,31291,-71896,178304,4454,-58938,201.8,10.8,19.9,-0.553,0.036,7.076,-0.187,0.358,0.972,-54.014,20.775,-1.125,42,
50061,31645,-72333,180645,3339,-58997,201.8,10.8,19.9,1.325,-0.483,5.908,-0.191,0.356,0.968,-54.014,19.588,0,42,
50072,32103,-72372,182609,3246,-58902,201.8,10.7,19.9,1.439,-0.735,4.611,-0.193,0.348,0.965,-54.014,21.962,1.125,42,
50083,32167,-72439,183791,3056,-59030,201.8,10.7,19.9,3.661,-2.117,3.527,-0.195,0.34,0.96,-51.614,19.588,1.125,42,
50095,32666,-72371,184933,3225,-59057,201.8,10.7,20,4.951,-3.185,2.824,-0.186,0.341,0.959,-51.614,19.588,1.125,42,
50105,30200,-71631,185024,6899,-59803,201.8,10.6,20,3.401,-1.162,2.557,-0.183,0.343,0.962,-51.614,19.588,1.125,42,
50117,32289,-72249,186516,4214,-59423,201.8,10.6,20,2.287,1.044,1.802,-0.187,0.337,0.957,-54.014,20.775,1.125,42,
