Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
135453,65654,-20360,226107,75512,-15123,210.8,17.6,30.4,1.378,1.601,-1.954,-0.317,0.478,0.85,-57.615,29.085,-9.002,78,
135464,66182,-20604,226242,74570,-14986,210.8,17.6,30.4,1.081,2.945,-1.55,-0.318,0.484,0.855,-57.615,30.272,-6.752,78,
135475,66691,-20675,226566,74429,-14881,210.7,17.7,30.3,-0.95,3.189,-1.343,-0.319,0.477,0.853,-57.615,30.272,-6.752,78,
135487,66563,-20849,226460,74512,-14938,210.7,17.7,30.3,-1.293,2.105,-0.931,-0.326,0.48,0.845,-57.615,29.085,-7.877,78,
135497,66783,-20820,226740,74656,-14972,210.7,17.8,30.2,-2.103,1.372,-0.824,-0.327,0.481,0.844,-56.415,29.085,-7.877,78,
135508,66788,-20965,226651,74491,-14960,210.7,17.8,30.2,-0.904,-0.162,-0.359,-0.321,0.482,0.836,-57.615,30.272,-9.002,78,
135519,66969,-20843,226964,74583,-15100,210.7,17.8,30.2,-0.66,0.41,-0.702,-0.315,0.484,0.837,-55.215,31.459,-7.877,78,
135531,66980,-20930,227123,74665,-15150,210.6,17.8,30.2,0.981,0.54,-0.298,-0.312,0.495,0.845,-57.615,26.71,-7.877,78,
135541,65178,-20745,226663,77118,-16108,210.7,17.8,30.2,1.012,1.273,-0.458,-0.308,0.498,0.843,-55.215,30.272,-10.128,78,
135553,66756,-20912,227254,75461,-15409,210.7,17.8,30.3,-0.103,1.013,-1.137,-0.307,0.505,0.845,-57.615,31.459,-10.128,78,
135563,66943,-21162,227340,75100,-15359,210.7,17.8,30.3,-1.148,1.532,-1.504,-0.311,0.502,0.842,-57.615,31.459,-10.128,78,
135574,67428,-21160,227718,74962,-15340,210.7,17.8,30.2,-1.561,0.181,-1.794,-0.31,0.497,0.848,-57.615,31.459,-10.128,78,
135585,67356,-21303,227620,74799,-15410,210.7,17.8,30.2,-0.866,0.677,-1.733,-0.308,0.492,0.842,-57.615,29.085,-10.128,78,
135596,67540,-21310,228000,75018,-15364,210.6,17.8,30.2,-0.66,0.296,-1.649,-0.307,0.491,0.858,-56.415,29.085,-7.877,78,
135608,67195,-21234,227912,75317,-15633,210.6,17.9,30.2,-1.652,2.265,-1.786,-0.31,0.488,0.856,-55.215,27.898,-9.002,78,
135619,62903,-20836,226954,81257,-17872,210.5,17.8,30.1,0.775,-0.155,-1.801,-0.308,0.486,0.858,-60.016,27.898,-11.253,78,
135630,61964,-20834,226636,82854,-18292,210.5,17.8,30.1,2.104,0.792,-1.427,-0.305,0.486,0.848,-57.615,30.272,-11.253,78,
135641,58804,-20446,225901,87025,-20060,210.5,17.8,30.1,-0.08,1.899,-1.336,-0.306,0.481,0.856,-56.415,30.272,-12.378,78,
135652,64540,-20868,227580,80012,-17202,210.6,17.8,30.1,0.653,0.044,-0.267,-0.313,0.48,0.859,-56.415,31.459,-11.253,78,
135662,67264,-21191,228386,76287,-16052,210.5,17.8,30.1,-0.576,-0.284,-0.038,-0.314,0.475,0.855,-55.215,30.272,-6.752,78,
135673,68008,-21258,228830,75619,-15798,210.5,17.8,30,-1.179,-1.353,0.237,-0.315,0.47,0.858,-57.615,29.085,-7.877,78,
135684,67797,-21509,228854,75821,-15928,210.5,17.8,29.9,0.416,-0.941,0.107,-0.312,0.472,0.863,-57.615,29.085,-7.877,78,
135695,68345,-21602,229368,75675,-15914,210.4,17.8,29.9,-0.232,0.418,0.351,-0.31,0.479,0.875,-57.615,29.085,-7.877,78,
135706,68249,-21729,229366,75494,-15954,210.4,17.8,29.8,-0.79,1.479,0.756,-0.318,0.484,0.869,-58.816,29.085,-6.752,78,
135717,68669,-21583,229777,75641,-15948,210.4,17.8,29.8,-0.584,-0.2,0.519,-0.318,0.489,0.865,-58.816,30.272,-7.877,78,
