Timestamp,Data0,Data1,Data2,Data3,Data4,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19
225620,-32406,-38683,12332,-64716,-46370,200.6,15.9,6.5,26.172,16.074,13.45,-0.304,0.132,0.929,-69.618,21.962,29.258,38,
225632,-31803,-38673,13326,-65911,-46114,200.8,16.2,6.8,26.997,17.731,12.817,-0.308,0.124,0.926,-67.218,24.336,28.132,38,
225642,-31932,-38781,13841,-67134,-46240,200.9,16.4,7.2,29.859,18.311,12.725,-0.312,0.116,0.918,-68.418,25.523,29.258,38,
225653,-33176,-37843,14197,-65948,-47228,201.1,16.7,7.6,35.432,17.357,13.298,-0.318,0.114,0.903,-70.819,27.898,27.007,38,
225664,-31842,-38372,15135,-68525,-46429,201.3,17,8,38.668,16.051,14.634,-0.323,0.127,0.892,-74.42,25.523,29.258,38,
225675,-34475,-36978,15181,-65768,-48082,201.5,17.2,8.5,39.943,12.334,16.435,-0.321,0.144,0.89,-68.418,26.71,29.258,38,
225686,-34833,-36674,15613,-65942,-48570,201.7,17.3,9.1,37.882,8.754,17.84,-0.311,0.167,0.902,-67.218,27.898,28.132,38,
225697,-31475,-38160,17366,-72399,-46727,201.9,17.4,9.5,33.088,6.021,17.832,-0.307,0.182,0.923,-72.019,27.898,30.383,38,
225708,-30459,-38197,18450,-75610,-46126,202.1,17.4,9.9,29.508,5.632,17.046,-0.302,0.191,0.93,-72.019,26.71,27.007,38,
225719,-30237,-38258,19158,-78238,-46030,202.3,17.4,10.3,25.455,7.853,16.145,-0.294,0.2,0.935,-72.019,26.71,27.007,38,
225730,-29832,-37886,20121,-78759,-45932,202.5,17.5,10.7,21.485,9.212,15.221,-0.293,0.201,0.936,-70.819,30.272,28.132,38,
225741,-31505,-37049,20120,-77536,-47058,202.7,17.5,11,20.355,10.586,14.466,-0.294,0.2,0.92,-72.019,32.646,30.383,38,
225752,-32796,-35912,20461,-75597,-47703,202.9,17.6,11.3,22.02,10.158,13.748,-0.302,0.196,0.917,-69.618,30.272,25.882,38,
225763,-31597,-36513,21405,-78233,-47232,203.1,17.7,11.7,23.264,10.029,13.458,-0.301,0.192,0.92,-72.019,32.646,28.132,38,
225774,-29476,-36728,22690,-81055,-45733,203.3,17.8,12,25.607,10.296,13.504,-0.301,0.192,0.91,-72.019,32.646,25.882,38,
225785,-29088,-36692,23362,-82398,-45481,203.5,17.8,12.4,29.829,8.403,15.038,-0.307,0.2,0.905,-72.019,33.833,28.132,38,
225797,-28657,-36596,23978,-83338,-45371,203.7,17.8,12.8,30.829,5.372,17.176,-0.299,0.237,0.919,-69.618,32.646,30.383,38,
225807,-28616,-36496,24601,-83634,-45530,204,17.8,13.3,25.065,4.494,17.809,-0.291,0.261,0.925,-70.819,35.02,25.882,38,
225818,-28342,-36511,25344,-84451,-45342,204.3,17.7,13.7,15.546,3.563,16.45,-0.288,0.27,0.927,-70.819,36.207,29.258,38,
225829,-27722,-36480,26281,-85359,-44887,204.5,17.6,13.9,8.34,2.906,14.649,-0.285,0.263,0.924,-70.819,35.02,28.132,38,
225841,-27889,-36411,26542,-86373,-45004,204.6,17.6,14.1,5.577,4.158,13.756,-0.285,0.247,0.926,-70.819,35.02,28.132,38,
225851,-27576,-36106,27367,-87387,-44622,204.8,17.5,14.2,9.302,2.937,13.137,-0.276,0.231,0.911,-72.019,37.395,28.132,38,
225862,-29276,-35495,27156,-86178,-45591,205,17.4,14.4,12.394,1.654,13.641,-0.27,0.221,0.918,-75.62,38.582,28.132,38,
225873,-29749,-35056,27779,-85728,-45972,205.1,17.3,14.6,13.554,2.044,14.351,-0.259,0.229,0.914,-74.42,37.395,28.132,38,
225884,-29738,-34958,28213,-86497,-46165,205.3,17.2,14.7,12.478,0.097,14.939,-0.259,0.226,0.921,-74.42,38.582,29.258,38,
225895,-27995,-35492,29345,-88937,-44851,205.5,17,14.9,11.478,1.082,15.634,-0.255,0.235,0.918,-72.019,39.769,25.882,38,
225906,-27056,-35778,30136,-90495,-44338,205.7,16.9,15,10.737,1.532,15.786,-0.26,0.24,0.918,-73.219,38.582,30.383,38,
225917,-26766,-35901,30665,-91526,-44161,205.9,16.8,15.2,10.653,2.242,16.405,-0.262,0.241,0.923,-73.219,39.769,29.258,38,
225928,-26413,-35461,31377,-92191,-43882,206.1,16.7,15.4,11.516,1.41,16.901,-0.257,0.244,0.921,-75.62,38.582,28.132,38,
225940,-26523,-35326,31855,-92966,-43871,206.3,16.6,15.6,13.806,1.532,17.679,-0.246,0.256,0.915,-74.42,39.769,29.258,38,
225950,-26069,-35039,32621,-93408,-43412,206.5,16.4,15.8,14.63,3.059,18.023,-0.246,0.27,0.932,-74.42,40.956,29.258,38,
225961,-27740,-34290,32464,-92008,-44671,206.7,16.3,16.1,16.668,4.57,17.855,-0.248,0.291,0.941,-74.42,40.956,29.258,38,
225972,-29226,-33360,32649,-90249,-45745,207,16.2,16.5,18.562,3.899,17.351,-0.24,0.324,0.948,-74.42,44.517,29.258,38,
225984,-27743,-34055,33496,-92424,-44654,207.2,16,16.8,11.829,5.067,16.481,-0.24,0.332,0.971,-76.82,42.143,29.258,38,
225994,-28320,-33398,33826,-91435,-45013,207.4,15.9,17,4.768,7.746,14.855,-0.237,0.339,0.948,-75.62,42.143,29.258,38,
226005,-26012,-34458,35017,-94850,-43716,207.6,15.9,17.2,1.363,7.517,13.542,-0.239,0.33,0.953,-74.42,43.33,28.132,38,
226016,-25400,-34685,35673,-95921,-43274,207.8,15.8,17.3,-2.667,6.273,14.145,-0.246,0.342,0.975,-76.82,43.33,30.383,38,
226027,-25052,-34692,36165,-96527,-43123,208,15.7,17.4,-5.431,2.662,15.008,-0.264,0.35,0.986,-75.62,44.517,30.383,38,
226038,-25083,-34791,36459,-96823,-43108,208.1,15.6,17.5,-4.874,-2.185,16.145,-0.275,0.362,0.993,-74.42,42.143,32.634,38,
226050,-24770,-34605,37065,-97132,-42692,208.3,15.4,17.5,-6.751,-5.674,16.199,-0.282,0.36,1.016,-78.021,43.33,30.383,38,
226060,-27523,-33564,36561,-94313,-44263,208.4,15.2,17.6,-4.164,-9.773,15.405,-0.271,0.368,1.032,-74.42,44.517,32.634,38,
226071,-24969,-34228,37896,-97294,-42828,208.6,15,17.7,-0.072,-10.552,13.779,-0.265,0.372,1.043,-75.62,45.704,29.258,38,
226082,-24710,-34336,38284,-98551,-42694,208.7,14.8,17.9,2.615,-10.216,12.359,-0.258,0.372,1.042,-75.62,45.704,29.258,38,
226093,-24331,-34132,38923,-98932,-42400,208.8,14.6,18,4.539,-6.888,11.573,-0.25,0.373,1.037,-75.62,45.704,29.258,38,
226104,-24278,-34152,39176,-99458,-42556,208.9,14.4,18.3,9.5,-6.155,11.298,-0.238,0.381,1.02,-75.62,45.704,32.634,38,
